Gene	Cytoband	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	Log Ratio	p-Value	q-Value	Higher expression in
FAM225B	9q32	6.79	7.07	1.22	1.19	-0.29	0.0409	0.0814	(B) WHITE
CCDC181	1q24.2	2.14	2.47	1.40	1.27	-0.32	0.0409	0.0814	(B) WHITE
LRRC26	9q34.3	4.61	5.24	2.75	2.23	-0.63	0.0409	0.0815	(B) WHITE
EXO5	1p34.2	7.69	7.57	0.51	0.49	0.12	0.0409	0.0815	(A) BLACK OR AFRICAN AMERICAN
CABCOCO1	10q21.2	2.54	2.95	1.74	1.86	-0.41	0.0409	0.0816	(B) WHITE
MIS12	17p13.2	8.51	8.62	0.48	0.46	-0.11	0.0409	0.0816	(B) WHITE
GEMIN2	14q21.1	7.37	7.24	0.55	0.48	0.13	0.0410	0.0817	(A) BLACK OR AFRICAN AMERICAN
PACS2	14q32.33	10.22	10.10	0.51	0.48	0.12	0.0411	0.0818	(A) BLACK OR AFRICAN AMERICAN
TLE6	19p13.3	5.01	5.43	1.83	1.60	-0.42	0.0411	0.0819	(B) WHITE
NQO1	16q22.1	10.94	11.30	1.55	1.32	-0.35	0.0412	0.0820	(B) WHITE
GABRG3	15q12	1.06	0.72	1.44	1.43	0.33	0.0412	0.0821	(A) BLACK OR AFRICAN AMERICAN
ANXA2P1	4q31.3	6.14	5.94	0.86	0.75	0.20	0.0413	0.0821	(A) BLACK OR AFRICAN AMERICAN
PPRC1	10q24.32	10.19	10.07	0.50	0.43	0.12	0.0413	0.0822	(A) BLACK OR AFRICAN AMERICAN
NAV1	1q32.1	10.22	10.46	1.05	0.89	-0.24	0.0413	0.0823	(B) WHITE
FAM111A	11q12.1	9.79	9.96	0.73	0.66	-0.17	0.0413	0.0823	(B) WHITE
LINC00494	20q13.13	2.45	2.06	1.73	1.50	0.40	0.0414	0.0824	(A) BLACK OR AFRICAN AMERICAN
C12ORF49	12q24.22	8.96	9.14	0.80	0.66	-0.18	0.0414	0.0824	(B) WHITE
RIIAD1	1q21.3	1.67	2.09	1.83	1.79	-0.43	0.0414	0.0824	(B) WHITE
COQ10B	2q33.1	9.33	9.44	0.45	0.44	-0.11	0.0414	0.0824	(B) WHITE
MMP12	11q22.2	4.98	4.37	2.62	2.70	0.61	0.0414	0.0824	(A) BLACK OR AFRICAN AMERICAN
COL19A1	6q13	1.41	1.03	1.66	1.36	0.38	0.0414	0.0824	(A) BLACK OR AFRICAN AMERICAN
HEBP1	12p13.1	10.31	10.48	0.72	0.97	-0.18	0.0415	0.0825	(B) WHITE
UTP14A	Xq26.1	9.26	9.15	0.47	0.40	0.11	0.0415	0.0825	(A) BLACK OR AFRICAN AMERICAN
TMEM65	8q24.13	9.21	8.98	1.01	0.86	0.23	0.0415	0.0825	(A) BLACK OR AFRICAN AMERICAN
LINC00589	8p12	0.83	1.13	1.32	1.29	-0.31	0.0415	0.0825	(B) WHITE
ZSCAN9	6p22.1	7.45	7.61	0.74	0.55	-0.17	0.0415	0.0825	(B) WHITE
H1FOO	3q22.1	0.09	0.04	0.20	0.19	0.05	0.0415	0.0825	(A) BLACK OR AFRICAN AMERICAN
GLRX5	14q32.13	9.93	9.81	0.54	0.47	0.12	0.0415	0.0826	(A) BLACK OR AFRICAN AMERICAN
CLRN1	3q25.1	0.20	0.30	0.42	0.51	-0.10	0.0416	0.0826	(B) WHITE
TBX18	6q14.3	5.76	6.15	1.73	1.34	-0.39	0.0416	0.0826	(B) WHITE
C8ORF44	8q13.1	5.38	5.21	0.73	0.63	0.17	0.0416	0.0826	(A) BLACK OR AFRICAN AMERICAN
ECHDC2	1p32.3	9.33	9.10	1.02	0.86	0.23	0.0416	0.0826	(A) BLACK OR AFRICAN AMERICAN
ELOVL7	5q12.1	7.53	7.23	1.25	1.39	0.30	0.0416	0.0826	(A) BLACK OR AFRICAN AMERICAN
CCT6A	7p11.2	12.24	12.13	0.48	0.58	0.12	0.0416	0.0826	(A) BLACK OR AFRICAN AMERICAN
GABBR1	6p22.1	8.85	8.57	1.24	1.01	0.28	0.0416	0.0826	(A) BLACK OR AFRICAN AMERICAN
C5ORF49	5p15.31	4.65	5.10	1.95	1.64	-0.45	0.0416	0.0826	(B) WHITE
SRA1	5q31.3	9.32	9.19	0.58	0.54	0.13	0.0416	0.0827	(A) BLACK OR AFRICAN AMERICAN
RAB36	22q11.23	7.19	7.57	1.61	1.58	-0.37	0.0416	0.0827	(B) WHITE
STIP1	11q13.1	11.91	11.77	0.60	0.61	0.14	0.0417	0.0827	(A) BLACK OR AFRICAN AMERICAN
ST3GAL2	16q22.1	8.67	8.49	0.76	0.75	0.18	0.0417	0.0828	(A) BLACK OR AFRICAN AMERICAN
SP7	12q13.13	0.97	0.61	1.62	0.95	0.36	0.0417	0.0828	(A) BLACK OR AFRICAN AMERICAN
ETFRF1	12p12.1	8.10	8.24	0.63	0.58	-0.15	0.0418	0.0830	(B) WHITE
XIST	Xq13.2	11.83	12.34	2.24	1.90	-0.51	0.0418	0.0830	(B) WHITE
TRMO	9q22.33	7.81	7.94	0.56	0.46	-0.13	0.0419	0.0831	(B) WHITE
YY1AP1	1q22	11.18	11.28	0.48	0.44	-0.11	0.0419	0.0831	(B) WHITE
RPAIN	17p13.2	9.02	8.88	0.61	0.52	0.14	0.0419	0.0832	(A) BLACK OR AFRICAN AMERICAN
GNPAT	1q42.2	10.46	10.58	0.53	0.46	-0.12	0.0419	0.0832	(B) WHITE
VSNL1	2p24.2	6.15	5.68	2.05	1.73	0.47	0.0419	0.0832	(A) BLACK OR AFRICAN AMERICAN
FAM166A	9q34.3	0.85	0.65	0.89	0.68	0.20	0.0420	0.0832	(A) BLACK OR AFRICAN AMERICAN
GIPR	19q13.32	3.07	3.44	1.58	1.59	-0.37	0.0420	0.0832	(B) WHITE
MAT1A	10q22.3	4.29	3.71	2.55	2.29	0.59	0.0420	0.0832	(A) BLACK OR AFRICAN AMERICAN
APOL5	22q12.3	0.33	0.44	0.46	0.51	-0.11	0.0420	0.0832	(B) WHITE
OLFM1	9q34.3	7.79	8.25	2.02	1.68	-0.46	0.0420	0.0833	(B) WHITE
MBOAT4	8p12	1.67	1.49	0.80	0.76	0.18	0.0420	0.0833	(A) BLACK OR AFRICAN AMERICAN
OR10V1	11q12.1	0.05	0.10	0.24	0.26	-0.06	0.0420	0.0833	(B) WHITE
ZSCAN10	16p13.3	0.42	0.29	0.56	0.57	0.13	0.0421	0.0833	(A) BLACK OR AFRICAN AMERICAN
NHS	Xp22.2-p22.13	7.27	7.53	1.13	1.11	-0.26	0.0421	0.0833	(B) WHITE
BCKDK	16p11.2	10.18	10.30	0.55	0.53	-0.13	0.0421	0.0833	(B) WHITE
LRRC17	7q22.1	7.19	7.62	1.87	1.76	-0.43	0.0421	0.0833	(B) WHITE
TRIM63	1p36.11	1.22	1.53	1.32	1.25	-0.30	0.0421	0.0833	(B) WHITE
GLE1	9q34.11	10.10	10.23	0.58	0.44	-0.13	0.0421	0.0834	(B) WHITE
NUP37	12q23.2	8.51	8.40	0.49	0.48	0.11	0.0421	0.0834	(A) BLACK OR AFRICAN AMERICAN
SLC36A3	5q33.1	0.13	0.07	0.27	0.21	0.06	0.0421	0.0835	(A) BLACK OR AFRICAN AMERICAN
HLA-E	6p22.1	12.71	12.50	0.91	0.87	0.21	0.0422	0.0835	(A) BLACK OR AFRICAN AMERICAN
SH2D4B	10q23.1	1.49	1.31	0.77	0.84	0.18	0.0422	0.0835	(A) BLACK OR AFRICAN AMERICAN
OGFOD3	17q25.3	8.50	8.35	0.67	0.66	0.16	0.0422	0.0835	(A) BLACK OR AFRICAN AMERICAN
NDUFB3	2q33.1	9.46	9.34	0.52	0.45	0.12	0.0422	0.0836	(A) BLACK OR AFRICAN AMERICAN
SLC1A7	1p32.3	3.13	3.46	1.39	1.40	-0.32	0.0423	0.0837	(B) WHITE
MAPK6	15q21.2	9.90	10.07	0.74	0.61	-0.17	0.0423	0.0837	(B) WHITE
NAT2	8p22	2.34	2.77	1.84	1.78	-0.42	0.0423	0.0838	(B) WHITE
TMEM200C	18p11.31	3.92	3.51	1.79	1.48	0.41	0.0423	0.0838	(A) BLACK OR AFRICAN AMERICAN
DERL2	17p13.2	9.30	9.18	0.51	0.49	0.12	0.0423	0.0838	(A) BLACK OR AFRICAN AMERICAN
MRPL22	5q33.2	8.82	8.70	0.50	0.48	0.12	0.0423	0.0838	(A) BLACK OR AFRICAN AMERICAN
GBP5	1p22.2	8.30	7.78	2.29	1.90	0.52	0.0424	0.0838	(A) BLACK OR AFRICAN AMERICAN
PAX8	2q14.1	4.89	5.28	1.65	1.59	-0.38	0.0424	0.0839	(B) WHITE
FKBP4	12p13.33	12.66	12.84	0.78	0.76	-0.18	0.0424	0.0839	(B) WHITE
PPP4R1	18p11.22	10.53	10.67	0.61	0.45	-0.14	0.0425	0.0840	(B) WHITE
ATOX1	5q33.1	10.06	9.89	0.78	0.65	0.18	0.0425	0.0840	(A) BLACK OR AFRICAN AMERICAN
DPH6	15q14	6.64	6.80	0.69	0.64	-0.16	0.0425	0.0840	(B) WHITE
ZNF300	5q33.1	6.24	5.91	1.45	1.34	0.33	0.0425	0.0840	(A) BLACK OR AFRICAN AMERICAN
PRDM15	21q22.3	7.99	7.90	0.38	0.39	0.09	0.0425	0.0841	(A) BLACK OR AFRICAN AMERICAN
DSEL	18q22.1	7.50	7.85	1.52	1.26	-0.35	0.0426	0.0841	(B) WHITE
RGS4	1q23.3	7.04	7.45	1.80	1.45	-0.41	0.0426	0.0841	(B) WHITE
EIF2A	3q25.1	10.91	11.02	0.47	0.40	-0.11	0.0426	0.0842	(B) WHITE
ADGRG7	3q12.2	0.38	0.62	0.92	1.67	-0.24	0.0426	0.0842	(B) WHITE
NKAPL	6p22.1	2.54	2.75	0.90	0.98	-0.21	0.0426	0.0842	(B) WHITE
POPDC3	6q21	2.48	1.97	2.24	1.60	0.50	0.0427	0.0843	(A) BLACK OR AFRICAN AMERICAN
FGF1	5q31.3	7.47	7.77	1.35	1.22	-0.31	0.0427	0.0843	(B) WHITE
AICDA	12p13.31	1.21	0.88	1.49	1.10	0.33	0.0427	0.0843	(A) BLACK OR AFRICAN AMERICAN
LUC7L2	7q34	10.99	11.07	0.37	0.34	-0.09	0.0427	0.0843	(B) WHITE
DAXX	6p21.32	10.93	10.83	0.40	0.44	0.09	0.0427	0.0844	(A) BLACK OR AFRICAN AMERICAN
ZNF544	19q13.43	9.28	9.41	0.55	0.55	-0.13	0.0427	0.0844	(B) WHITE
SPAAR	9p13.3	4.31	3.94	1.65	1.20	0.37	0.0427	0.0844	(A) BLACK OR AFRICAN AMERICAN
SNHG8	4q26	9.37	9.15	0.98	0.93	0.23	0.0427	0.0844	(A) BLACK OR AFRICAN AMERICAN
ZNF556	19p13.3	1.26	1.62	1.55	1.57	-0.36	0.0428	0.0844	(B) WHITE
CCDC54	3q13.12	0.48	0.60	0.53	0.59	-0.13	0.0428	0.0845	(B) WHITE
KRT222	17q21.2	5.68	5.93	1.09	1.01	-0.25	0.0428	0.0845	(B) WHITE
TM4SF20	2q36.3	0.22	0.30	0.33	0.40	-0.08	0.0428	0.0845	(B) WHITE
TRIM37	17q22	9.73	9.91	0.77	0.71	-0.18	0.0428	0.0845	(B) WHITE
TSPAN31	12q14.1	9.77	9.96	0.84	0.67	-0.19	0.0428	0.0845	(B) WHITE
FCN2	9q34.3	1.50	1.93	1.89	1.78	-0.43	0.0429	0.0846	(B) WHITE
THAP9	4q21.22	6.95	7.08	0.60	0.50	-0.14	0.0429	0.0846	(B) WHITE
GTSF1L	20q13.12	0.77	0.58	0.85	0.75	0.19	0.0429	0.0847	(A) BLACK OR AFRICAN AMERICAN
L3HYPDH	14q23.1	6.18	6.03	0.63	0.62	0.15	0.0429	0.0847	(A) BLACK OR AFRICAN AMERICAN
ADGRF3	2p23.3	2.59	2.38	0.90	0.84	0.21	0.0429	0.0847	(A) BLACK OR AFRICAN AMERICAN
SOX9	17q24.3	10.85	10.54	1.32	1.42	0.31	0.0429	0.0847	(A) BLACK OR AFRICAN AMERICAN
DUSP5P1	1q42.13	2.49	2.04	2.01	1.68	0.46	0.0429	0.0847	(A) BLACK OR AFRICAN AMERICAN
CD9	12p13.31	13.07	12.90	0.72	0.63	0.16	0.0430	0.0847	(A) BLACK OR AFRICAN AMERICAN
C16ORF89	16p13.3	5.30	5.96	2.85	2.69	-0.66	0.0430	0.0847	(B) WHITE
XXYLT1	3q29	8.62	8.50	0.52	0.58	0.12	0.0430	0.0848	(A) BLACK OR AFRICAN AMERICAN
AMBP	9q32	2.75	3.26	2.20	2.17	-0.51	0.0430	0.0848	(B) WHITE
SVOPL	7q34	3.51	3.04	2.08	1.90	0.48	0.0430	0.0848	(A) BLACK OR AFRICAN AMERICAN
ARMH1	1p34.1	3.80	3.49	1.36	1.20	0.31	0.0431	0.0850	(A) BLACK OR AFRICAN AMERICAN
ESF1	20p12.1	8.70	8.87	0.74	0.54	-0.17	0.0431	0.0850	(B) WHITE
C2CD4A	15q22.2	3.55	4.12	2.43	2.64	-0.57	0.0432	0.0850	(B) WHITE
LY75	2q24.2	8.34	8.70	1.59	1.38	-0.36	0.0432	0.0851	(B) WHITE
ARG1	6q23.2	0.61	0.38	1.01	0.59	0.22	0.0432	0.0851	(A) BLACK OR AFRICAN AMERICAN
FAM53B	10q26.13	9.98	9.81	0.73	0.76	0.17	0.0432	0.0851	(A) BLACK OR AFRICAN AMERICAN
ALDH8A1	6q23.3	3.60	3.29	1.38	1.29	0.32	0.0432	0.0851	(A) BLACK OR AFRICAN AMERICAN
CD44	11p13	12.78	13.03	1.11	1.01	-0.25	0.0433	0.0853	(B) WHITE
LYRM4	6p25.1	8.51	8.36	0.65	0.55	0.15	0.0433	0.0853	(A) BLACK OR AFRICAN AMERICAN
TPSAB1	16p13.3	7.41	7.90	2.16	1.99	-0.50	0.0433	0.0853	(B) WHITE
CISD1	10q21.1	8.49	8.34	0.67	0.63	0.15	0.0434	0.0854	(A) BLACK OR AFRICAN AMERICAN
PPP2R3A	3q22.2-q22.3	8.87	9.09	0.93	0.90	-0.21	0.0434	0.0854	(B) WHITE
C5ORF60	5q35.3	0.53	0.38	0.65	0.47	0.15	0.0434	0.0854	(A) BLACK OR AFRICAN AMERICAN
KRT2	12q13.13	1.22	0.86	1.61	1.14	0.36	0.0434	0.0854	(A) BLACK OR AFRICAN AMERICAN
MEPCE	7q22.1	10.51	10.40	0.52	0.45	0.12	0.0434	0.0855	(A) BLACK OR AFRICAN AMERICAN
PIK3C2B	1q32.1	9.58	9.74	0.69	0.61	-0.16	0.0434	0.0855	(B) WHITE
PCED1A	20p13	8.96	8.77	0.81	0.70	0.18	0.0434	0.0855	(A) BLACK OR AFRICAN AMERICAN
NBDY	Xp11.21	8.63	8.45	0.80	0.66	0.18	0.0435	0.0856	(A) BLACK OR AFRICAN AMERICAN
LRTM1	3p14.3	0.09	0.15	0.22	0.45	-0.06	0.0435	0.0857	(B) WHITE
SNORA22	7q11.21	0.03	0.07	0.12	0.23	-0.03	0.0435	0.0857	(B) WHITE
AP5S1	20p13	7.98	7.85	0.58	0.49	0.13	0.0436	0.0857	(A) BLACK OR AFRICAN AMERICAN
REG1A	2p12	0.41	0.08	1.51	0.57	0.33	0.0436	0.0858	(A) BLACK OR AFRICAN AMERICAN
FOPNL	16p13.11	9.76	9.87	0.48	0.49	-0.11	0.0436	0.0858	(B) WHITE
ZC3HAV1	7q34	10.30	10.41	0.50	0.44	-0.11	0.0436	0.0858	(B) WHITE
PRRT1	6p21.32	5.64	5.40	1.05	1.05	0.24	0.0436	0.0858	(A) BLACK OR AFRICAN AMERICAN
RBM5	3p21.31	10.65	10.77	0.52	0.51	-0.12	0.0436	0.0858	(B) WHITE
CCDC155	19q13.33	1.20	0.84	1.57	1.16	0.35	0.0437	0.0858	(A) BLACK OR AFRICAN AMERICAN
ATRNL1	10q25.3	4.57	5.19	2.69	2.71	-0.62	0.0437	0.0858	(B) WHITE
ZNF385D	3p24.3	4.40	4.83	1.85	1.71	-0.42	0.0437	0.0859	(B) WHITE
C5ORF22	5p13.3	9.27	9.40	0.59	0.50	-0.13	0.0437	0.0859	(B) WHITE
EMILIN2	18p11.32-p11.31	8.12	7.88	1.03	1.04	0.24	0.0437	0.0860	(A) BLACK OR AFRICAN AMERICAN
AATBC	21q22.3	5.17	4.81	1.56	1.50	0.36	0.0437	0.0860	(A) BLACK OR AFRICAN AMERICAN
ZNF71	19q13.43	7.72	7.58	0.63	0.56	0.14	0.0439	0.0863	(A) BLACK OR AFRICAN AMERICAN
VSIG10L	19q13.41	5.66	5.34	1.41	1.26	0.32	0.0439	0.0863	(A) BLACK OR AFRICAN AMERICAN
ERCC2	19q13.32	8.68	8.54	0.62	0.53	0.14	0.0440	0.0864	(A) BLACK OR AFRICAN AMERICAN
CAT	11p13	10.47	10.65	0.82	0.60	-0.18	0.0440	0.0864	(B) WHITE
FANCF	11p14.3	9.03	9.16	0.58	0.54	-0.13	0.0440	0.0865	(B) WHITE
RAPGEF3	12q13.11	7.57	7.88	1.35	1.16	-0.30	0.0441	0.0865	(B) WHITE
MICAL3	22q11.21	9.62	9.40	0.94	0.81	0.21	0.0441	0.0865	(A) BLACK OR AFRICAN AMERICAN
NXPE2	11q23.2-q23.3	0.49	0.63	0.60	0.67	-0.14	0.0441	0.0866	(B) WHITE
GFI1	1p22.1	4.78	4.44	1.46	1.36	0.33	0.0441	0.0866	(A) BLACK OR AFRICAN AMERICAN
PCMTD2	20q13.33	10.29	10.45	0.73	0.67	-0.17	0.0441	0.0866	(B) WHITE
HSPA9	5q31.2	12.59	12.71	0.53	0.48	-0.12	0.0441	0.0866	(B) WHITE
ESRRB	14q24.3	1.66	1.89	1.00	1.29	-0.24	0.0442	0.0867	(B) WHITE
C11ORF80	11q13.2	8.55	8.36	0.82	0.95	0.19	0.0442	0.0868	(A) BLACK OR AFRICAN AMERICAN
TSACC	1q22	2.86	2.59	1.22	1.04	0.28	0.0442	0.0868	(A) BLACK OR AFRICAN AMERICAN
UMODL1	21q22.3	3.71	3.23	2.11	1.82	0.48	0.0443	0.0868	(A) BLACK OR AFRICAN AMERICAN
OXCT1	5p13.1	9.55	9.31	1.04	1.02	0.24	0.0443	0.0868	(A) BLACK OR AFRICAN AMERICAN
SPATA25	20q13.12	2.28	2.05	1.02	0.84	0.23	0.0443	0.0869	(A) BLACK OR AFRICAN AMERICAN
RAC2	22q13.1	9.51	9.21	1.30	1.11	0.29	0.0443	0.0869	(A) BLACK OR AFRICAN AMERICAN
SLC25A13	7q21.3	9.18	9.05	0.58	0.63	0.14	0.0443	0.0869	(A) BLACK OR AFRICAN AMERICAN
FLJ12825	12q13.13	3.63	4.03	1.71	1.72	-0.39	0.0444	0.0870	(B) WHITE
RXRB	6p21.32	9.98	9.86	0.54	0.42	0.12	0.0444	0.0870	(A) BLACK OR AFRICAN AMERICAN
RAG2	11p12	0.02	0.06	0.11	0.26	-0.03	0.0445	0.0871	(B) WHITE
ZBTB7A	19p13.3	9.67	9.79	0.53	0.49	-0.12	0.0445	0.0871	(B) WHITE
VSIR	10q22.1	9.13	8.90	1.03	0.96	0.23	0.0445	0.0871	(A) BLACK OR AFRICAN AMERICAN
MBTD1	17q21.33	9.17	9.33	0.69	0.68	-0.16	0.0445	0.0872	(B) WHITE
PCBP2	12q13.13	13.17	13.27	0.41	0.34	-0.09	0.0446	0.0874	(B) WHITE
PDE1C	7p14.3	3.19	3.63	1.93	1.75	-0.44	0.0446	0.0874	(B) WHITE
OTULIN	5p15.2	9.20	9.07	0.57	0.52	0.13	0.0446	0.0875	(A) BLACK OR AFRICAN AMERICAN
RNF170	8p11.21	8.83	9.00	0.76	0.69	-0.17	0.0447	0.0875	(B) WHITE
FAM215A	17q21.31	0.33	0.45	0.51	0.57	-0.12	0.0447	0.0876	(B) WHITE
C16ORF46	16q23.2	5.65	5.83	0.81	0.69	-0.18	0.0447	0.0876	(B) WHITE
ZNF460	19q13.43	5.36	5.58	0.96	0.73	-0.22	0.0447	0.0876	(B) WHITE
CES2	16q22.1	9.60	9.72	0.56	0.48	-0.13	0.0447	0.0876	(B) WHITE
ACAD8	11q25	8.63	8.78	0.65	0.60	-0.15	0.0447	0.0876	(B) WHITE
MARCKS	6q21	12.01	11.84	0.73	0.80	0.17	0.0448	0.0876	(A) BLACK OR AFRICAN AMERICAN
VPS16	20p13	9.90	9.78	0.54	0.51	0.12	0.0448	0.0876	(A) BLACK OR AFRICAN AMERICAN
SMIM6	17q25.1	1.01	1.23	0.93	1.27	-0.22	0.0448	0.0877	(B) WHITE
PLIN1	15q26.1	6.60	7.23	2.72	2.82	-0.63	0.0448	0.0877	(B) WHITE
LINC00452	13q34	0.58	0.41	0.76	0.58	0.17	0.0448	0.0877	(A) BLACK OR AFRICAN AMERICAN
CSNK2A2	16q21	8.84	8.70	0.60	0.54	0.14	0.0448	0.0877	(A) BLACK OR AFRICAN AMERICAN
LINC00652	20p11.23	1.20	0.97	1.00	0.91	0.23	0.0448	0.0877	(A) BLACK OR AFRICAN AMERICAN
ACTR10	14q23.1	9.92	10.02	0.46	0.38	-0.10	0.0449	0.0878	(B) WHITE
DGKA	12q13.2	8.86	8.65	0.92	0.81	0.21	0.0449	0.0878	(A) BLACK OR AFRICAN AMERICAN
PFKP	10p15.2	9.90	9.52	1.66	1.42	0.37	0.0449	0.0878	(A) BLACK OR AFRICAN AMERICAN
NUP88	17p13.2	9.58	9.47	0.48	0.51	0.11	0.0449	0.0878	(A) BLACK OR AFRICAN AMERICAN
NCOA7	6q22.31-q22.32	9.82	9.53	1.29	1.12	0.29	0.0449	0.0879	(A) BLACK OR AFRICAN AMERICAN
CHI3L1	1q32.1	9.73	9.13	2.68	2.25	0.60	0.0450	0.0881	(A) BLACK OR AFRICAN AMERICAN
SLC38A4	12q13.11	3.07	3.49	1.87	1.64	-0.42	0.0451	0.0881	(B) WHITE
CYP4A22	1p33	0.64	0.90	1.11	1.19	-0.26	0.0451	0.0881	(B) WHITE
ATL1	14q22.1	7.67	7.90	1.00	0.92	-0.23	0.0451	0.0881	(B) WHITE
DEK	6p22.3	11.50	11.29	0.90	0.75	0.20	0.0451	0.0882	(A) BLACK OR AFRICAN AMERICAN
DGKQ	4p16.3	8.67	8.50	0.74	0.68	0.17	0.0451	0.0882	(A) BLACK OR AFRICAN AMERICAN
FCRL3	1q23.1	3.88	3.35	2.38	2.05	0.54	0.0451	0.0882	(A) BLACK OR AFRICAN AMERICAN
EVA1A	2p12	6.65	6.38	1.21	1.07	0.27	0.0451	0.0882	(A) BLACK OR AFRICAN AMERICAN
ABHD1	2p23.3	3.66	4.00	1.47	1.25	-0.33	0.0452	0.0883	(B) WHITE
STX8	17p13.1	7.97	8.12	0.67	0.54	-0.15	0.0452	0.0883	(B) WHITE
GPC4	Xq26.2	9.50	9.86	1.62	1.40	-0.37	0.0452	0.0883	(B) WHITE
RPS24	10q22.3	14.19	14.00	0.82	0.70	0.18	0.0453	0.0884	(A) BLACK OR AFRICAN AMERICAN
NDP	Xp11.3	4.42	4.99	2.48	2.74	-0.58	0.0453	0.0885	(B) WHITE
AMER3	2q21.1	0.48	0.77	1.17	1.77	-0.29	0.0453	0.0885	(B) WHITE
SNORA50A	16q21	0.01	0.03	0.08	0.15	-0.02	0.0453	0.0885	(B) WHITE
CNN3	1p21.3	11.69	11.92	0.99	0.87	-0.22	0.0453	0.0885	(B) WHITE
PCDHB18P	5q31.3	2.85	3.10	1.08	0.98	-0.24	0.0454	0.0886	(B) WHITE
LIF	22q12.2	7.09	6.70	1.75	1.38	0.39	0.0454	0.0886	(A) BLACK OR AFRICAN AMERICAN
SCAP	3p21.31	10.77	10.65	0.50	0.45	0.11	0.0454	0.0887	(A) BLACK OR AFRICAN AMERICAN
FNDC11	20q13.33	2.32	2.63	1.40	1.20	-0.32	0.0454	0.0887	(B) WHITE
COL6A1	21q22.3	13.63	13.38	1.10	1.21	0.25	0.0455	0.0888	(A) BLACK OR AFRICAN AMERICAN
KCNG3	2p21	3.00	2.62	1.66	1.58	0.38	0.0455	0.0888	(A) BLACK OR AFRICAN AMERICAN
CLEC11A	19q13.33	8.09	7.80	1.29	1.21	0.29	0.0455	0.0888	(A) BLACK OR AFRICAN AMERICAN
MOB3B	9p21.2	7.84	7.55	1.31	1.28	0.30	0.0455	0.0888	(A) BLACK OR AFRICAN AMERICAN
NPY1R	4q32.2	8.02	8.86	3.70	3.40	-0.84	0.0455	0.0889	(B) WHITE
SYNE3	14q32.13	4.70	5.02	1.41	1.23	-0.32	0.0455	0.0889	(B) WHITE
KLK6	19q13.41	5.51	4.64	3.91	3.11	0.87	0.0456	0.0889	(A) BLACK OR AFRICAN AMERICAN
KHDRBS3	8q24.23	7.66	7.31	1.54	1.21	0.34	0.0456	0.0889	(A) BLACK OR AFRICAN AMERICAN
ID1	20q11.21	7.82	7.50	1.41	1.10	0.31	0.0456	0.0890	(A) BLACK OR AFRICAN AMERICAN
DNM1P46	15q26.3	1.69	1.94	1.08	1.16	-0.25	0.0456	0.0890	(B) WHITE
ANGPTL3	1p31.3	0.57	0.43	0.60	0.62	0.14	0.0457	0.0890	(A) BLACK OR AFRICAN AMERICAN
TBC1D22B	6p21.2	8.83	8.70	0.55	0.51	0.12	0.0457	0.0890	(A) BLACK OR AFRICAN AMERICAN
NLRP9	19q13.42	1.79	1.58	0.92	0.90	0.21	0.0457	0.0891	(A) BLACK OR AFRICAN AMERICAN
FOXG1	14q12	1.02	0.60	1.92	1.36	0.42	0.0457	0.0891	(A) BLACK OR AFRICAN AMERICAN
GTSE1-DT	22q13.31	3.06	3.34	1.26	0.98	-0.28	0.0458	0.0893	(B) WHITE
IFI35	17q21.31	9.50	9.26	1.07	0.99	0.24	0.0458	0.0893	(A) BLACK OR AFRICAN AMERICAN
VNN1	6q23.2	5.07	4.74	1.47	1.24	0.33	0.0459	0.0894	(A) BLACK OR AFRICAN AMERICAN
CLIP2	7q11.23	8.77	8.58	0.86	0.80	0.19	0.0459	0.0894	(A) BLACK OR AFRICAN AMERICAN
RAB3IP	12q15	9.00	9.26	1.17	0.82	-0.26	0.0459	0.0894	(B) WHITE
OR2A4	6q23.2	4.38	4.65	1.13	1.32	-0.26	0.0459	0.0894	(B) WHITE
KRTAP5-1	11p15.5	2.85	2.56	1.30	1.11	0.29	0.0459	0.0895	(A) BLACK OR AFRICAN AMERICAN
MARCH1	4q32.2-q32.3	6.00	6.27	1.18	0.98	-0.26	0.0460	0.0896	(B) WHITE
PPIF	10q22.3	10.91	10.73	0.77	0.89	0.18	0.0460	0.0896	(A) BLACK OR AFRICAN AMERICAN
FAM90A7P	8p23.1	0.26	0.16	0.46	0.30	0.10	0.0460	0.0896	(A) BLACK OR AFRICAN AMERICAN
CLASP1	2q14.2-q14.3	10.18	10.30	0.57	0.42	-0.13	0.0460	0.0896	(B) WHITE
SEH1L	18p11.21	9.96	9.81	0.66	0.55	0.15	0.0461	0.0897	(A) BLACK OR AFRICAN AMERICAN
MRGPRX2	11p15.1	0.27	0.38	0.47	0.65	-0.11	0.0461	0.0897	(B) WHITE
ZNF235	19q13.31	6.34	6.48	0.62	0.51	-0.14	0.0461	0.0898	(B) WHITE
ZC2HC1C	14q24.3	5.55	5.72	0.75	0.75	-0.17	0.0461	0.0898	(B) WHITE
HTRA4	8p11.22	3.05	2.73	1.41	1.37	0.32	0.0461	0.0898	(A) BLACK OR AFRICAN AMERICAN
PLEKHH3	17q21.2	9.50	9.29	0.94	0.85	0.21	0.0462	0.0898	(A) BLACK OR AFRICAN AMERICAN
