Gene	Cytoband	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	Log Ratio	p-Value	q-Value	Higher expression in
SNRPB	20p13	12.00	11.41	0.71	0.63	0.59	3.09e-11	8.07e-9	(A) BLACK OR AFRICAN AMERICAN
SLC14A2	18q12.3	1.45	2.41	1.10	1.77	-0.97	3.31e-11	8.54e-9	(B) WHITE
CENPM	22q13.2	7.67	6.84	1.00	1.07	0.83	3.51e-11	8.95e-9	(A) BLACK OR AFRICAN AMERICAN
ARID2	12q12	9.46	10.09	0.77	0.60	-0.63	3.64e-11	9.16e-9	(B) WHITE
UBALD2	17q25.1	9.78	9.15	0.78	0.73	0.64	3.74e-11	9.23e-9	(A) BLACK OR AFRICAN AMERICAN
ENTPD5	14q24.3	7.20	8.14	1.13	1.20	-0.94	3.76e-11	9.23e-9	(B) WHITE
TRMT2A	22q11.21	9.49	8.90	0.73	0.67	0.60	4.04e-11	9.75e-9	(A) BLACK OR AFRICAN AMERICAN
ZNF836	19q13.41	6.87	7.50	0.77	0.68	-0.63	4.07e-11	9.75e-9	(B) WHITE
PRSS45P	3p21.31	2.43	1.15	1.58	1.15	1.28	4.30e-11	1.02e-8	(A) BLACK OR AFRICAN AMERICAN
NFKBIB	19q13.2	8.95	8.28	0.82	0.74	0.67	4.63e-11	1.07e-8	(A) BLACK OR AFRICAN AMERICAN
PSRC1	1p13.3	8.11	7.38	0.89	0.89	0.73	4.69e-11	1.07e-8	(A) BLACK OR AFRICAN AMERICAN
ARHGEF12	11q23.3	11.43	12.11	0.84	0.64	-0.68	4.69e-11	1.07e-8	(B) WHITE
GLI4	8q24.3	7.66	6.71	1.17	1.03	0.95	4.72e-11	1.07e-8	(A) BLACK OR AFRICAN AMERICAN
E2F1	20q11.22	9.07	8.16	1.11	1.20	0.91	4.78e-11	1.07e-8	(A) BLACK OR AFRICAN AMERICAN
BIRC5	17q25.3	9.13	8.00	1.36	1.51	1.13	4.84e-11	1.07e-8	(A) BLACK OR AFRICAN AMERICAN
TOGARAM1	14q21.2	8.43	9.14	0.88	0.72	-0.71	5.15e-11	1.12e-8	(B) WHITE
BOLA2	16p11.2	10.41	9.89	0.64	0.65	0.52	5.16e-11	1.12e-8	(A) BLACK OR AFRICAN AMERICAN
SPATA46	1q23.3	0.78	1.55	0.92	1.24	-0.77	5.37e-11	1.15e-8	(B) WHITE
MICALCL	11p15.3	4.41	5.78	1.70	1.54	-1.38	5.79e-11	1.23e-8	(B) WHITE
PDCL3P4	3q12.3	6.43	5.99	0.54	0.54	0.44	6.25e-11	1.31e-8	(A) BLACK OR AFRICAN AMERICAN
COL4A3BP	5q13.3	9.31	9.88	0.72	0.61	-0.58	6.47e-11	1.34e-8	(B) WHITE
FMC1	7q34	8.06	7.43	0.77	0.78	0.63	6.61e-11	1.36e-8	(A) BLACK OR AFRICAN AMERICAN
ADRM1	20q13.33	11.21	10.57	0.80	0.71	0.64	7.13e-11	1.44e-8	(A) BLACK OR AFRICAN AMERICAN
ZNF17	19q13.43	6.83	7.28	0.56	0.47	-0.45	7.16e-11	1.44e-8	(B) WHITE
PFN1	17p13.2	13.69	13.22	0.59	0.57	0.47	7.32e-11	1.46e-8	(A) BLACK OR AFRICAN AMERICAN
ZNF678	1q42.13	5.63	6.53	1.13	1.00	-0.91	7.90e-11	1.55e-8	(B) WHITE
PTTG1	5q33.3	9.14	8.21	1.14	1.24	0.93	7.91e-11	1.55e-8	(A) BLACK OR AFRICAN AMERICAN
PIK3C2A	11p15.1	9.93	10.56	0.79	0.64	-0.63	8.19e-11	1.56e-8	(B) WHITE
ZNF304	19q13.43	8.26	8.79	0.66	0.58	-0.53	8.20e-11	1.56e-8	(B) WHITE
CTU2	16q24.3	8.12	7.38	0.93	0.75	0.74	8.23e-11	1.56e-8	(A) BLACK OR AFRICAN AMERICAN
BBS1	11q13.2	9.18	9.79	0.75	0.73	-0.60	8.32e-11	1.56e-8	(B) WHITE
SPSB2	12p13.31	7.61	6.86	0.94	0.83	0.75	8.41e-11	1.56e-8	(A) BLACK OR AFRICAN AMERICAN
POLD1	19q13.33	9.37	8.64	0.91	0.73	0.73	8.50e-11	1.56e-8	(A) BLACK OR AFRICAN AMERICAN
ANKHD1-EIF4EBP3	5q31.3	9.27	9.90	0.79	0.77	-0.64	8.54e-11	1.56e-8	(B) WHITE
KIF18B	17q21.31	8.13	7.10	1.27	1.39	1.03	1.01e-10	1.83e-8	(A) BLACK OR AFRICAN AMERICAN
YLPM1	14q24.3	10.26	10.66	0.51	0.48	-0.40	1.09e-10	1.95e-8	(B) WHITE
ZKSCAN1	7q22.1	9.62	10.49	1.09	0.96	-0.87	1.10e-10	1.96e-8	(B) WHITE
C20ORF27	20p13	9.71	8.99	0.90	0.82	0.71	1.13e-10	1.99e-8	(A) BLACK OR AFRICAN AMERICAN
CCDC158	4q21.1	2.22	3.50	1.58	1.76	-1.27	1.14e-10	1.99e-8	(B) WHITE
SPATA18	4q12	6.17	7.47	1.63	1.51	-1.29	1.20e-10	2.09e-8	(B) WHITE
PWP2	21q22.3	10.06	9.49	0.73	0.53	0.57	1.21e-10	2.09e-8	(A) BLACK OR AFRICAN AMERICAN
RBM27	5q32	9.58	10.01	0.54	0.46	-0.42	1.26e-10	2.15e-8	(B) WHITE
CIPC	14q24.3	9.59	10.14	0.69	0.61	-0.55	1.28e-10	2.16e-8	(B) WHITE
MXD3	5q35.3	8.06	7.29	0.98	0.78	0.77	1.29e-10	2.17e-8	(A) BLACK OR AFRICAN AMERICAN
NOL12	22q13.1	8.30	7.75	0.70	0.61	0.55	1.33e-10	2.21e-8	(A) BLACK OR AFRICAN AMERICAN
KCND3	1p13.2	3.48	5.12	2.04	2.23	-1.64	1.38e-10	2.28e-8	(B) WHITE
RALY	20q11.22	11.82	11.36	0.59	0.52	0.46	1.41e-10	2.31e-8	(A) BLACK OR AFRICAN AMERICAN
IL20RA	6q23.3	6.25	7.91	2.09	2.04	-1.65	1.64e-10	2.65e-8	(B) WHITE
PHF20	20q11.22-q11.23	10.21	10.65	0.56	0.52	-0.44	1.70e-10	2.73e-8	(B) WHITE
PPP1R14B	11q13.1	10.85	10.15	0.89	0.87	0.70	1.74e-10	2.78e-8	(A) BLACK OR AFRICAN AMERICAN
ASAH1	8p22	11.69	12.46	0.96	1.05	-0.77	1.81e-10	2.86e-8	(B) WHITE
BAX	19q13.33	9.67	9.11	0.72	0.62	0.56	1.91e-10	3.00e-8	(A) BLACK OR AFRICAN AMERICAN
SPG11	15q21.1	10.29	10.87	0.73	0.63	-0.57	2.00e-10	3.11e-8	(B) WHITE
CLCN3	4q33	9.89	10.55	0.85	0.74	-0.67	2.01e-10	3.11e-8	(B) WHITE
MRPL12	17q25.3	10.39	9.64	0.95	0.87	0.74	2.03e-10	3.12e-8	(A) BLACK OR AFRICAN AMERICAN
TNKS	8p23.1	9.72	10.25	0.67	0.63	-0.53	2.05e-10	3.12e-8	(B) WHITE
ALDH6A1	14q24.3	7.78	8.62	1.09	0.91	-0.84	2.17e-10	3.29e-8	(B) WHITE
MIIP	1p36.22	8.93	8.21	0.93	0.73	0.72	2.34e-10	3.52e-8	(A) BLACK OR AFRICAN AMERICAN
DDA1	19p13.11	9.82	9.41	0.53	0.50	0.41	2.36e-10	3.52e-8	(A) BLACK OR AFRICAN AMERICAN
ZNF776	19q13.43	8.51	9.15	0.83	0.64	-0.64	2.43e-10	3.60e-8	(B) WHITE
HAUS8	19p13.11	7.72	7.18	0.69	0.69	0.54	2.47e-10	3.63e-8	(A) BLACK OR AFRICAN AMERICAN
CIB2	15q25.1	6.89	5.87	1.31	1.33	1.03	2.49e-10	3.63e-8	(A) BLACK OR AFRICAN AMERICAN
LRRC31	3q26.2	2.13	4.29	2.70	3.23	-2.15	2.54e-10	3.67e-8	(B) WHITE
MYLK2	20q11.21	3.22	2.20	1.33	1.09	1.02	2.56e-10	3.68e-8	(A) BLACK OR AFRICAN AMERICAN
FNIP1	5q31.1	9.25	9.84	0.76	0.67	-0.59	2.60e-10	3.71e-8	(B) WHITE
TROAP	12q13.12	8.36	7.35	1.28	1.42	1.01	2.65e-10	3.75e-8	(A) BLACK OR AFRICAN AMERICAN
TEN1	17q25.1	8.42	7.76	0.84	0.75	0.65	2.78e-10	3.91e-8	(A) BLACK OR AFRICAN AMERICAN
TRIP11	14q32.12	9.56	10.15	0.77	0.64	-0.59	2.82e-10	3.94e-8	(B) WHITE
CCDC150	2q33.1	5.11	4.15	1.23	1.29	0.96	3.06e-10	4.22e-8	(A) BLACK OR AFRICAN AMERICAN
VPS13D	1p36.22-p36.21	10.40	10.89	0.63	0.60	-0.49	3.06e-10	4.22e-8	(B) WHITE
GIPC1	19p13.12	11.34	10.73	0.79	0.72	0.61	3.14e-10	4.25e-8	(A) BLACK OR AFRICAN AMERICAN
TRABD	22q13.33	9.90	9.21	0.89	0.74	0.68	3.14e-10	4.25e-8	(A) BLACK OR AFRICAN AMERICAN
RTL8A	Xq26.3	10.15	9.56	0.76	0.75	0.59	3.15e-10	4.25e-8	(A) BLACK OR AFRICAN AMERICAN
HMBOX1	8p21.1-p12	6.07	6.84	1.00	0.90	-0.77	3.16e-10	4.25e-8	(B) WHITE
DIXDC1	11q23.1	8.59	9.36	1.00	0.82	-0.77	3.34e-10	4.46e-8	(B) WHITE
FEM1C	5q22.3	9.33	9.90	0.75	0.59	-0.57	3.39e-10	4.48e-8	(B) WHITE
LSM4	19p13.11	11.24	10.67	0.74	0.63	0.57	3.40e-10	4.48e-8	(A) BLACK OR AFRICAN AMERICAN
TTC37	5q15	10.02	10.69	0.88	0.68	-0.67	3.46e-10	4.51e-8	(B) WHITE
C16ORF72	16p13.2	10.09	10.46	0.49	0.45	-0.38	3.47e-10	4.51e-8	(B) WHITE
CAPG	2p11.2	12.10	11.51	0.76	0.88	0.59	3.56e-10	4.58e-8	(A) BLACK OR AFRICAN AMERICAN
SPATA6	1p33	5.88	6.74	1.13	0.92	-0.86	3.57e-10	4.58e-8	(B) WHITE
KDM3B	5q31.2	10.86	11.29	0.56	0.46	-0.42	3.90e-10	4.97e-8	(B) WHITE
TASOR	3p14.3	10.47	10.88	0.54	0.49	-0.41	3.96e-10	5.01e-8	(B) WHITE
SNRPD1	18q11.2	10.11	9.69	0.55	0.57	0.43	4.05e-10	5.06e-8	(A) BLACK OR AFRICAN AMERICAN
ADAL	15q15.3	6.79	7.41	0.82	0.59	-0.62	4.05e-10	5.06e-8	(B) WHITE
GOLGB1	3q13.33	11.95	12.42	0.62	0.56	-0.47	4.08e-10	5.06e-8	(B) WHITE
CHMP1A	16q24.3	11.31	10.79	0.68	0.56	0.52	4.10e-10	5.06e-8	(A) BLACK OR AFRICAN AMERICAN
PDS5B	13q13.1	9.63	10.10	0.61	0.56	-0.47	4.16e-10	5.11e-8	(B) WHITE
H2AFX	11q23.3	9.93	9.30	0.81	0.87	0.63	4.35e-10	5.30e-8	(A) BLACK OR AFRICAN AMERICAN
IPO11	5q12.1	8.93	9.39	0.61	0.53	-0.47	4.38e-10	5.32e-8	(B) WHITE
TIMM44	19p13.2	9.50	8.87	0.83	0.64	0.63	4.41e-10	5.32e-8	(A) BLACK OR AFRICAN AMERICAN
ZNF701	19q13.41	7.01	7.59	0.76	0.61	-0.57	4.49e-10	5.38e-8	(B) WHITE
CCDC30	1p34.2	5.75	6.66	1.21	0.95	-0.91	4.56e-10	5.43e-8	(B) WHITE
RPP21	6p22.1	8.77	8.14	0.83	0.69	0.63	4.62e-10	5.47e-8	(A) BLACK OR AFRICAN AMERICAN
LMBRD2	5p13.2	6.86	7.82	1.26	1.04	-0.96	4.77e-10	5.62e-8	(B) WHITE
SLC39A9	14q24.1	10.98	11.51	0.70	0.55	-0.53	4.91e-10	5.75e-8	(B) WHITE
NAA10	Xq28	10.18	9.61	0.76	0.61	0.58	4.97e-10	5.78e-8	(A) BLACK OR AFRICAN AMERICAN
SCAMP1	5q14.1	10.17	10.70	0.69	0.61	-0.53	5.04e-10	5.83e-8	(B) WHITE
LINC00634	22q13.2	2.63	1.64	1.30	1.08	0.99	5.35e-10	6.09e-8	(A) BLACK OR AFRICAN AMERICAN
ZBTB37	1q25.1	4.64	5.35	0.92	1.00	-0.71	5.36e-10	6.09e-8	(B) WHITE
MKLN1	7q32.3	10.32	10.65	0.44	0.45	-0.33	5.39e-10	6.09e-8	(B) WHITE
SPOPL	2q22.1	9.89	10.60	0.94	0.81	-0.71	5.40e-10	6.09e-8	(B) WHITE
POP7	7q22.1	9.46	8.94	0.68	0.64	0.52	5.42e-10	6.09e-8	(A) BLACK OR AFRICAN AMERICAN
DHX34	19q13.32	9.46	9.00	0.61	0.56	0.46	5.55e-10	6.21e-8	(A) BLACK OR AFRICAN AMERICAN
SLC38A11	2q24.3	1.47	2.34	1.11	1.42	-0.87	5.75e-10	6.39e-8	(B) WHITE
ARHGAP35	19q13.32	11.26	11.75	0.63	0.67	-0.49	5.78e-10	6.39e-8	(B) WHITE
POLK	5q13.3	8.29	8.86	0.75	0.62	-0.57	5.81e-10	6.39e-8	(B) WHITE
ZNF543	19q13.43	6.83	7.28	0.58	0.53	-0.44	5.85e-10	6.40e-8	(B) WHITE
DNAL1	14q24.3	8.16	8.82	0.88	0.76	-0.66	5.90e-10	6.42e-8	(B) WHITE
KIAA0825	5q15	5.31	6.22	1.21	0.96	-0.91	6.04e-10	6.54e-8	(B) WHITE
