Gene	Cytoband	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	Log Ratio	p-Value	q-Value	Higher expression in
WSB2	12q24.23	10.77	11.07	0.38	0.51	-0.30	2.080e-5	3.765e-3	(B) WHITE
INHA	2q35	3.88	3.15	0.93	1.14	0.73	2.140e-5	3.838e-3	(A) BLACK OR AFRICAN AMERICAN
RPP38-DT	10p13	3.59	3.11	0.62	0.77	0.48	2.311e-5	4.073e-3	(A) BLACK OR AFRICAN AMERICAN
SNORA7B	3q21.3	3.43	2.88	0.74	0.71	0.56	2.335e-5	4.079e-3	(A) BLACK OR AFRICAN AMERICAN
TDH	8p23.1	2.74	2.10	0.84	0.95	0.64	2.384e-5	4.129e-3	(A) BLACK OR AFRICAN AMERICAN
RPL32P3	3q21.3	7.43	7.00	0.55	0.75	0.43	2.429e-5	4.171e-3	(A) BLACK OR AFRICAN AMERICAN
FGF19	11q13.3	0.21	0.58	0.37	1.02	-0.37	2.484e-5	4.219e-3	(B) WHITE
RC3H1	1q25.1	9.21	9.46	0.33	0.40	-0.26	2.499e-5	4.219e-3	(B) WHITE
FOXP1	3p13	11.09	11.33	0.32	0.37	-0.24	2.526e-5	4.230e-3	(B) WHITE
CA1	8q21.2	0.11	0.42	0.27	0.98	-0.31	2.581e-5	4.285e-3	(B) WHITE
TTLL3	3p25.3	9.24	8.66	0.76	0.97	0.59	2.644e-5	4.354e-3	(A) BLACK OR AFRICAN AMERICAN
PLCXD1	Xp22.33 and Yp11.32-p11.31	8.66	8.28	0.49	0.54	0.37	2.742e-5	4.476e-3	(A) BLACK OR AFRICAN AMERICAN
LOC389705	9p22.3	2.04	2.54	0.63	0.92	-0.50	2.780e-5	4.476e-3	(B) WHITE
KIF12	9q32	8.29	7.25	1.38	1.47	1.04	2.785e-5	4.476e-3	(A) BLACK OR AFRICAN AMERICAN
UNC5CL	6p21.1	4.32	3.79	0.68	0.92	0.53	2.836e-5	4.522e-3	(A) BLACK OR AFRICAN AMERICAN
KIFC2	8q24.3	9.58	8.85	0.96	1.16	0.73	2.873e-5	4.545e-3	(A) BLACK OR AFRICAN AMERICAN
OXCT2	1p34.2	3.29	3.84	0.71	0.87	-0.55	2.897e-5	4.547e-3	(B) WHITE
FABP1	2p11.2	0.04	0.23	0.13	0.66	-0.19	2.983e-5	4.597e-3	(B) WHITE
BCS1L	2q35	9.04	8.80	0.32	0.43	0.25	2.986e-5	4.597e-3	(A) BLACK OR AFRICAN AMERICAN
CSMD1	8p23.2	3.85	2.22	2.23	1.58	1.62	2.997e-5	4.597e-3	(A) BLACK OR AFRICAN AMERICAN
ZGLP1	19p13.2	5.47	4.77	0.91	1.21	0.70	3.091e-5	4.658e-3	(A) BLACK OR AFRICAN AMERICAN
