Gene	Cytoband	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	Log Ratio	p-Value	q-Value	Higher expression in
CEP83-DT	12q22	3.18	3.28	0.54	0.71	-0.10	0.281	0.601	(B) WHITE
INTS5	11q12.3	10.14	10.19	0.27	0.28	-0.05	0.281	0.601	(B) WHITE
RPL19	17q12	14.68	14.60	0.44	0.46	0.08	0.281	0.601	(A) BLACK OR AFRICAN AMERICAN
ADIG	20q11.23	0.39	0.30	0.56	0.44	0.10	0.281	0.601	(A) BLACK OR AFRICAN AMERICAN
GINM1	6q25.1	9.29	9.35	0.27	0.64	-0.06	0.282	0.601	(B) WHITE
ANKRD13C	1p31.1	9.30	9.34	0.25	0.27	-0.04	0.282	0.601	(B) WHITE
OR5M1	11q12.1	0.02	0.00	0.11	0.06	0.02	0.282	0.601	(A) BLACK OR AFRICAN AMERICAN
ARMT1	6q25.1	8.46	8.52	0.27	0.61	-0.06	0.282	0.601	(B) WHITE
SMTN	22q12.2	11.19	11.36	0.98	0.94	-0.17	0.282	0.601	(B) WHITE
CACNA1A	19p13.13	2.31	2.47	0.90	0.84	-0.16	0.282	0.601	(B) WHITE
CERCAM	9q34.11	9.34	9.21	0.76	0.67	0.13	0.282	0.601	(A) BLACK OR AFRICAN AMERICAN
ACSF3	16q24.3	8.89	8.81	0.45	0.46	0.08	0.282	0.601	(A) BLACK OR AFRICAN AMERICAN
REC8	14q12	6.40	6.21	1.12	1.06	0.20	0.282	0.601	(A) BLACK OR AFRICAN AMERICAN
SRGAP3	3p25.3	8.33	8.48	0.84	0.87	-0.15	0.282	0.601	(B) WHITE
LRRC20	10q22.1	7.80	7.91	0.61	0.56	-0.11	0.282	0.601	(B) WHITE
SPRR2G	1q21.3	0.12	0.05	0.39	0.21	0.07	0.282	0.601	(A) BLACK OR AFRICAN AMERICAN
OR6M1	11q24.1	0.04	0.01	0.16	0.10	0.03	0.282	0.601	(A) BLACK OR AFRICAN AMERICAN
SLC16A13	17p13.1	5.59	5.70	0.63	0.75	-0.12	0.282	0.601	(B) WHITE
C15ORF61	15q23	7.56	7.65	0.47	0.48	-0.08	0.282	0.601	(B) WHITE
GJB7	6q14.3-q15	0.75	0.54	1.19	0.78	0.20	0.282	0.601	(A) BLACK OR AFRICAN AMERICAN
ABCG2	4q22.1	7.31	7.50	1.05	0.92	-0.18	0.282	0.602	(B) WHITE
VAMP5	2p11.2	7.99	7.84	0.87	0.74	0.15	0.282	0.602	(A) BLACK OR AFRICAN AMERICAN
CNFN	19q13.2	5.93	5.76	0.93	0.99	0.17	0.282	0.602	(A) BLACK OR AFRICAN AMERICAN
DPEP3	16q22.1	0.66	0.76	0.53	0.77	-0.10	0.282	0.602	(B) WHITE
DHX40	17q23.1	10.21	10.27	0.28	0.29	-0.05	0.282	0.602	(B) WHITE
XAGE3	Xp11.22	0.03	0.01	0.12	0.07	0.02	0.282	0.602	(A) BLACK OR AFRICAN AMERICAN
WDR90	16p13.3	9.08	8.98	0.55	0.68	0.10	0.283	0.602	(A) BLACK OR AFRICAN AMERICAN
MTHFS	15q25.1	9.47	9.38	0.50	0.46	0.09	0.283	0.602	(A) BLACK OR AFRICAN AMERICAN
HP	16q22.2	2.67	3.05	2.16	1.71	-0.38	0.283	0.602	(B) WHITE
DNMBP-AS1	10q24.2	4.77	4.95	1.01	1.00	-0.18	0.283	0.602	(B) WHITE
TGFBI	5q31.1	9.81	9.96	0.86	0.79	-0.15	0.283	0.602	(B) WHITE
TBC1D17	19q13.33	10.27	10.22	0.30	0.36	0.05	0.283	0.602	(A) BLACK OR AFRICAN AMERICAN
GUCA2B	1p34.2	0.01	0.03	0.09	0.26	-0.02	0.283	0.602	(B) WHITE
UBN2	7q34	9.51	9.59	0.47	0.42	-0.08	0.283	0.603	(B) WHITE
RMRP	9p13.3	4.11	3.77	1.96	1.67	0.34	0.283	0.603	(A) BLACK OR AFRICAN AMERICAN
ORMDL3	17q21.1	11.24	11.18	0.29	0.37	0.05	0.283	0.603	(A) BLACK OR AFRICAN AMERICAN
RHOV	15q15.1	7.65	7.41	1.30	1.37	0.23	0.283	0.603	(A) BLACK OR AFRICAN AMERICAN
ZNF565	19q13.12	6.18	6.12	0.34	0.30	0.06	0.283	0.603	(A) BLACK OR AFRICAN AMERICAN
SCN1A	2q24.3	1.05	0.69	2.10	1.41	0.36	0.283	0.603	(A) BLACK OR AFRICAN AMERICAN
SREBF1	17p11.2	11.87	12.00	0.75	0.76	-0.13	0.284	0.603	(B) WHITE
OAS2	12q24.13	9.85	9.63	1.22	1.25	0.22	0.284	0.603	(A) BLACK OR AFRICAN AMERICAN
ZNRD1ASP	6p22.1	4.94	5.04	0.58	0.43	-0.10	0.284	0.603	(B) WHITE
CNTNAP1	17q21.2	7.18	7.36	1.00	1.00	-0.18	0.284	0.603	(B) WHITE
GPHA2	11q13.1	1.84	1.60	1.36	1.14	0.24	0.284	0.603	(A) BLACK OR AFRICAN AMERICAN
UBE2O	17q25.1	10.02	10.07	0.24	0.29	-0.04	0.284	0.603	(B) WHITE
RBM44	2q37.3	2.38	2.14	1.39	0.87	0.24	0.284	0.603	(A) BLACK OR AFRICAN AMERICAN
RRAGA	9p22.1	10.85	10.80	0.30	0.28	0.05	0.284	0.603	(A) BLACK OR AFRICAN AMERICAN
SH2B2	7q22.1	4.82	4.69	0.70	0.95	0.13	0.284	0.603	(A) BLACK OR AFRICAN AMERICAN
CD79B	17q23.3	5.60	5.37	1.36	1.13	0.24	0.284	0.603	(A) BLACK OR AFRICAN AMERICAN
HOXA1	7p15.2	4.03	4.15	0.64	0.85	-0.12	0.284	0.603	(B) WHITE
LOC441204	7p15.2	4.87	5.06	1.13	1.04	-0.20	0.284	0.603	(B) WHITE
ANKH	5p15.2	12.57	12.46	0.59	0.70	0.11	0.284	0.603	(A) BLACK OR AFRICAN AMERICAN
MRPL58	17q25.1	8.64	8.70	0.35	0.37	-0.06	0.284	0.603	(B) WHITE
SOCS4	14q22.3	8.77	8.82	0.30	0.38	-0.06	0.284	0.603	(B) WHITE
TMEM140	7q33	8.86	8.76	0.58	0.50	0.10	0.284	0.603	(A) BLACK OR AFRICAN AMERICAN
PKNOX1	21q22.3	8.80	8.84	0.20	0.23	-0.04	0.284	0.603	(B) WHITE
SLC51A	3q29	5.92	5.65	1.51	1.36	0.26	0.284	0.603	(A) BLACK OR AFRICAN AMERICAN
DENND3	8q24.3	8.90	8.82	0.47	0.58	0.09	0.284	0.603	(A) BLACK OR AFRICAN AMERICAN
TSPY2	Yp11.2	0.11	0.01	0.55	0.09	0.09	0.284	0.603	(A) BLACK OR AFRICAN AMERICAN
OR11H6	14q11.2	0.08	0.04	0.20	0.20	0.04	0.284	0.604	(A) BLACK OR AFRICAN AMERICAN
BEND4	4p13	9.75	9.92	0.93	1.27	-0.17	0.285	0.604	(B) WHITE
C6ORF120	6q27	9.82	9.76	0.28	0.68	0.06	0.285	0.604	(A) BLACK OR AFRICAN AMERICAN
FGF11	17p13.1	3.92	3.79	0.73	0.93	0.13	0.285	0.604	(A) BLACK OR AFRICAN AMERICAN
ZNF696	8q24.3	8.19	8.08	0.60	0.49	0.10	0.285	0.604	(A) BLACK OR AFRICAN AMERICAN
IFITM2	11p15.5	10.15	10.31	0.87	0.79	-0.15	0.285	0.604	(B) WHITE
VSTM1	19q13.42	0.26	0.19	0.45	0.37	0.08	0.285	0.604	(A) BLACK OR AFRICAN AMERICAN
LUC7L2	7q34	11.13	11.19	0.34	0.33	-0.06	0.285	0.604	(B) WHITE
ANKUB1	3q25.1	0.28	0.38	0.51	0.69	-0.10	0.285	0.604	(B) WHITE
CERS3	15q26.3	2.63	2.40	1.31	1.40	0.23	0.285	0.604	(A) BLACK OR AFRICAN AMERICAN
GJB1	Xq13.1	10.87	10.72	0.81	1.11	0.15	0.285	0.604	(A) BLACK OR AFRICAN AMERICAN
ESPNL	2q37.3	3.53	3.29	1.36	1.35	0.24	0.285	0.605	(A) BLACK OR AFRICAN AMERICAN
LARS2	3p21.31	9.50	9.44	0.37	0.36	0.07	0.285	0.605	(A) BLACK OR AFRICAN AMERICAN
CTXN2	15q21.1	0.81	0.93	0.65	0.73	-0.12	0.285	0.605	(B) WHITE
NCF1C	7q11.23	3.44	3.22	1.28	1.27	0.23	0.286	0.605	(A) BLACK OR AFRICAN AMERICAN
ADAMTS4	1q23.3	7.41	7.03	2.13	1.94	0.37	0.286	0.605	(A) BLACK OR AFRICAN AMERICAN
ZNF341	20q11.22	7.50	7.45	0.28	0.35	0.05	0.286	0.605	(A) BLACK OR AFRICAN AMERICAN
ZNF436	1p36.12	9.28	9.34	0.34	0.35	-0.06	0.286	0.605	(B) WHITE
UCA1	19p13.12	1.39	1.60	1.18	1.24	-0.21	0.286	0.605	(B) WHITE
ADH1C	4q23	6.35	6.13	1.22	1.31	0.22	0.286	0.605	(A) BLACK OR AFRICAN AMERICAN
YLPM1	14q24.3	10.81	10.87	0.32	0.35	-0.06	0.286	0.605	(B) WHITE
APOL1	22q12.3	10.24	10.07	1.01	0.94	0.18	0.286	0.605	(A) BLACK OR AFRICAN AMERICAN
BCAR3	1p22.1	8.18	8.07	0.62	0.68	0.11	0.286	0.605	(A) BLACK OR AFRICAN AMERICAN
USP17L9P	4p16.1	0.02	0.04	0.11	0.15	-0.02	0.286	0.605	(B) WHITE
CXCR3	Xq13.1	4.50	4.29	1.17	1.17	0.21	0.286	0.605	(A) BLACK OR AFRICAN AMERICAN
ZDHHC17	12q21.2	9.28	9.22	0.32	0.35	0.06	0.286	0.605	(A) BLACK OR AFRICAN AMERICAN
MYBPC1	12q23.2	11.60	11.29	1.72	1.87	0.31	0.286	0.605	(A) BLACK OR AFRICAN AMERICAN
MDGA2	14q21.3	0.37	0.23	0.82	0.44	0.14	0.286	0.605	(A) BLACK OR AFRICAN AMERICAN
FBN3	19p13.2	3.64	3.39	1.39	1.46	0.25	0.286	0.605	(A) BLACK OR AFRICAN AMERICAN
CCDC9B	15q15.1	8.76	8.66	0.56	0.77	0.10	0.286	0.605	(A) BLACK OR AFRICAN AMERICAN
SCARF1	17p13.3	6.86	6.73	0.74	0.70	0.13	0.286	0.605	(A) BLACK OR AFRICAN AMERICAN
ILK	11p15.4	11.53	11.62	0.52	0.49	-0.09	0.286	0.605	(B) WHITE
ARMC5	16p11.2	8.80	8.74	0.37	0.40	0.07	0.286	0.605	(A) BLACK OR AFRICAN AMERICAN
COL15A1	9q22.33	10.29	10.43	0.83	0.85	-0.15	0.286	0.605	(B) WHITE
DZIP1	13q32.1	7.25	7.41	0.96	0.86	-0.17	0.286	0.605	(B) WHITE
LHFPL2	5q14.1	8.40	8.52	0.68	0.68	-0.12	0.286	0.605	(B) WHITE
DHODH	16q22.2	7.63	7.55	0.45	0.49	0.08	0.286	0.605	(A) BLACK OR AFRICAN AMERICAN
RNF126	19p13.3	9.27	9.20	0.39	0.46	0.07	0.286	0.605	(A) BLACK OR AFRICAN AMERICAN
GIN1	5q21.1	6.82	6.99	1.04	0.33	-0.17	0.286	0.605	(B) WHITE
CD2AP	6p12.3	10.94	11.04	0.52	0.86	-0.10	0.286	0.605	(B) WHITE
BTBD19	1p34.1	2.95	2.79	0.86	0.93	0.15	0.286	0.605	(A) BLACK OR AFRICAN AMERICAN
SERPINB5	18q21.33	6.40	6.06	1.90	2.00	0.34	0.287	0.605	(A) BLACK OR AFRICAN AMERICAN
ASAP1-IT1	8q24.21	0.06	0.03	0.17	0.12	0.03	0.287	0.605	(A) BLACK OR AFRICAN AMERICAN
ATAD2	8q24.13	9.61	9.50	0.64	0.60	0.11	0.287	0.605	(A) BLACK OR AFRICAN AMERICAN
VSTM4	10q11.23	8.47	8.66	1.11	0.98	-0.19	0.287	0.605	(B) WHITE
SUGT1P1	9p13.3	3.49	3.62	0.78	0.75	-0.14	0.287	0.606	(B) WHITE
NAP1L2	Xq13.2	8.59	8.70	0.61	0.60	-0.11	0.287	0.606	(B) WHITE
RASAL3	19p13.12	6.42	6.23	1.08	0.93	0.19	0.287	0.606	(A) BLACK OR AFRICAN AMERICAN
ISY1	3q21.3	9.02	9.06	0.24	0.30	-0.04	0.287	0.606	(B) WHITE
C1QTNF4	11p11.2	3.02	2.85	0.91	1.11	0.17	0.287	0.606	(A) BLACK OR AFRICAN AMERICAN
ANAPC13	3q22.2	10.57	10.50	0.38	0.38	0.07	0.287	0.606	(A) BLACK OR AFRICAN AMERICAN
VPS25	17q21.2	10.02	9.96	0.33	0.33	0.06	0.287	0.606	(A) BLACK OR AFRICAN AMERICAN
AACS	12q24.31	9.92	10.00	0.41	0.45	-0.07	0.287	0.606	(B) WHITE
TMEM87B	2q13	11.34	11.42	0.45	0.46	-0.08	0.287	0.606	(B) WHITE
HGH1	8q24.3	9.60	9.50	0.53	0.47	0.09	0.287	0.606	(A) BLACK OR AFRICAN AMERICAN
ZNF407	18q22.3	8.39	8.46	0.35	0.36	-0.06	0.287	0.606	(B) WHITE
TMUB1	7q36.1	9.59	9.51	0.45	0.50	0.08	0.287	0.606	(A) BLACK OR AFRICAN AMERICAN
SEC23IP	10q26.11-q26.12	10.50	10.58	0.43	0.46	-0.08	0.287	0.606	(B) WHITE
MPV17L2	19p13.11	8.22	8.13	0.49	0.47	0.09	0.287	0.606	(A) BLACK OR AFRICAN AMERICAN
MYEF2	15q21.1	9.24	9.33	0.49	0.50	-0.09	0.287	0.606	(B) WHITE
RNF138	18q12.1	8.86	8.93	0.41	0.43	-0.07	0.287	0.606	(B) WHITE
TMEM170A	16q23.1	8.76	8.84	0.44	0.44	-0.08	0.287	0.606	(B) WHITE
LINC00304	16q24.3	0.70	0.59	0.63	0.58	0.11	0.287	0.606	(A) BLACK OR AFRICAN AMERICAN
MYH14	19q13.33	10.50	10.62	0.66	0.89	-0.12	0.287	0.606	(B) WHITE
DUS2	16q22.1	7.49	7.43	0.31	0.40	0.06	0.287	0.606	(A) BLACK OR AFRICAN AMERICAN
PRF1	10q22.1	5.99	5.78	1.25	1.01	0.22	0.287	0.606	(A) BLACK OR AFRICAN AMERICAN
SAMD9L	7q21.2	7.55	7.35	1.16	0.96	0.20	0.287	0.606	(A) BLACK OR AFRICAN AMERICAN
SOX7	8p23.1	6.85	7.03	1.02	0.97	-0.18	0.287	0.606	(B) WHITE
CD27-AS1	12p13.31	8.57	8.47	0.54	0.60	0.10	0.288	0.606	(A) BLACK OR AFRICAN AMERICAN
CT47B1	Xq24	0.04	0.01	0.19	0.05	0.03	0.288	0.606	(A) BLACK OR AFRICAN AMERICAN
STON1	2p16.3	10.27	10.40	0.78	0.68	-0.14	0.288	0.606	(B) WHITE
CD83	6p23	7.86	7.72	0.80	0.68	0.14	0.288	0.606	(A) BLACK OR AFRICAN AMERICAN
EVC	4p16.2	9.67	9.58	0.55	0.64	0.10	0.288	0.606	(A) BLACK OR AFRICAN AMERICAN
PAFAH2	1p36.11	9.32	9.38	0.34	0.43	-0.06	0.288	0.606	(B) WHITE
PRPH	12q13.12	2.72	2.48	1.33	1.54	0.24	0.288	0.606	(A) BLACK OR AFRICAN AMERICAN
OVCH1	12p11.22	0.24	0.18	0.33	0.29	0.06	0.288	0.606	(A) BLACK OR AFRICAN AMERICAN
GNGT1	7q21.3	0.02	0.03	0.10	0.16	-0.02	0.288	0.606	(B) WHITE
ZXDC	3q21.3	10.12	10.18	0.32	0.26	-0.05	0.288	0.606	(B) WHITE
HNRNPH3	10q21.3	11.04	10.99	0.27	0.31	0.05	0.288	0.606	(A) BLACK OR AFRICAN AMERICAN
TBC1D19	4p15.2	6.75	6.83	0.44	0.35	-0.08	0.288	0.606	(B) WHITE
LBR	1q42.12	9.98	10.09	0.61	0.58	-0.11	0.288	0.606	(B) WHITE
IFNL3	19q13.2	0.11	0.03	0.49	0.15	0.08	0.288	0.606	(A) BLACK OR AFRICAN AMERICAN
ERBB4	2q34	5.25	5.02	1.27	1.30	0.22	0.288	0.606	(A) BLACK OR AFRICAN AMERICAN
HMGCL	1p36.11	10.27	10.21	0.30	0.39	0.05	0.288	0.606	(A) BLACK OR AFRICAN AMERICAN
ENG	9q34.11	10.68	10.80	0.70	0.70	-0.12	0.288	0.606	(B) WHITE
MFGE8	15q26.1	10.53	10.67	0.78	0.85	-0.14	0.288	0.606	(B) WHITE
NOSIP	19q13.33	9.54	9.48	0.33	0.42	0.06	0.288	0.606	(A) BLACK OR AFRICAN AMERICAN
MANBA	4q24	9.23	9.37	0.77	0.78	-0.14	0.288	0.606	(B) WHITE
REPIN1	7q36.1	11.48	11.53	0.31	0.41	-0.06	0.288	0.606	(B) WHITE
ZDHHC13	11p15.1	8.16	8.26	0.52	0.71	-0.10	0.288	0.606	(B) WHITE
RPSAP58	19p12	13.27	13.19	0.47	0.43	0.08	0.288	0.606	(A) BLACK OR AFRICAN AMERICAN
LSM2	6p21.33	8.70	8.75	0.28	0.35	-0.05	0.288	0.606	(B) WHITE
PRSS53	16p11.2	5.52	5.36	0.89	0.94	0.16	0.289	0.606	(A) BLACK OR AFRICAN AMERICAN
IGLL1	22q11.23	0.22	0.15	0.43	0.33	0.07	0.289	0.606	(A) BLACK OR AFRICAN AMERICAN
MARCH9	12q14.1	8.78	8.72	0.33	0.38	0.06	0.289	0.606	(A) BLACK OR AFRICAN AMERICAN
HIST1H1B	6p22.1	0.61	0.73	0.70	0.78	-0.13	0.289	0.606	(B) WHITE
TMA7	3p21.31	10.62	10.53	0.53	0.44	0.09	0.289	0.607	(A) BLACK OR AFRICAN AMERICAN
MEIS1	2p14	7.89	8.08	1.05	0.97	-0.18	0.289	0.607	(B) WHITE
TRIM56	7q22.1	8.43	8.56	0.76	0.66	-0.13	0.289	0.607	(B) WHITE
OR52N2	11p15.4	0.16	0.10	0.33	0.23	0.06	0.289	0.607	(A) BLACK OR AFRICAN AMERICAN
AUP1	2p13.1	11.37	11.30	0.42	0.36	0.07	0.289	0.607	(A) BLACK OR AFRICAN AMERICAN
TP53I13	17q11.2	9.02	8.95	0.40	0.52	0.07	0.289	0.607	(A) BLACK OR AFRICAN AMERICAN
HIST1H2BI	6p22.2	0.12	0.07	0.26	0.21	0.04	0.289	0.607	(A) BLACK OR AFRICAN AMERICAN
GABPB1-IT1	15q21.2	8.40	8.47	0.43	0.48	-0.08	0.289	0.607	(B) WHITE
POLR2A	17p13.1	12.04	12.13	0.49	0.44	-0.08	0.289	0.607	(B) WHITE
SELENOV	19q13.2	0.78	0.91	0.68	1.02	-0.13	0.289	0.607	(B) WHITE
SLC10A2	13q33.1	0.12	0.06	0.31	0.24	0.05	0.289	0.607	(A) BLACK OR AFRICAN AMERICAN
CHRM5	15q14	1.46	1.58	0.68	0.88	-0.12	0.289	0.607	(B) WHITE
CES1P1	16q12.2	2.81	3.10	1.65	1.56	-0.29	0.289	0.607	(B) WHITE
OSBP	11q12.1	11.25	11.31	0.30	0.33	-0.05	0.289	0.607	(B) WHITE
PTRH1	9q34.11	7.75	7.65	0.55	0.58	0.10	0.289	0.607	(A) BLACK OR AFRICAN AMERICAN
ACP6	1q21.2	8.89	8.98	0.52	0.53	-0.09	0.289	0.607	(B) WHITE
SNF8	17q21.32	9.71	9.65	0.30	0.33	0.05	0.289	0.607	(A) BLACK OR AFRICAN AMERICAN
NXPE4	11q23.2	2.52	2.87	1.98	2.25	-0.35	0.290	0.607	(B) WHITE
POT1	7q31.33	9.03	8.93	0.57	0.40	0.10	0.290	0.607	(A) BLACK OR AFRICAN AMERICAN
AP4E1	15q21.2	7.57	7.64	0.34	0.42	-0.06	0.290	0.607	(B) WHITE
BHMT	5q14.1	1.18	1.31	0.69	0.81	-0.12	0.290	0.607	(B) WHITE
MDFIC	7q31.1-q31.2	8.19	8.30	0.63	0.79	-0.12	0.290	0.607	(B) WHITE
IRF8	16q24.1	6.91	7.12	1.17	1.14	-0.20	0.290	0.607	(B) WHITE
OR51G2	11p15.4	0.16	0.22	0.35	0.42	-0.06	0.290	0.607	(B) WHITE
OR51I2	11p15.4	0.04	0.02	0.13	0.11	0.02	0.290	0.607	(A) BLACK OR AFRICAN AMERICAN
SLC22A6	11q12.3	0.13	0.09	0.25	0.29	0.05	0.290	0.607	(A) BLACK OR AFRICAN AMERICAN
HBG2	11p15.4	0.46	0.35	0.62	0.64	0.11	0.290	0.607	(A) BLACK OR AFRICAN AMERICAN
EFHD1	2q37.1	7.35	7.53	0.98	0.99	-0.17	0.290	0.607	(B) WHITE
GNAQ	9q21.2	10.85	10.90	0.32	0.37	-0.06	0.290	0.608	(B) WHITE
ACOT2	14q24.3	8.14	8.04	0.58	0.59	0.10	0.290	0.608	(A) BLACK OR AFRICAN AMERICAN
NRF1	7q32.2	8.34	8.38	0.22	0.22	-0.04	0.290	0.608	(B) WHITE
FOXE3	1p33	0.45	0.55	0.56	0.54	-0.10	0.290	0.608	(B) WHITE
SLC26A6	3p21.31	8.85	8.73	0.68	0.71	0.12	0.290	0.608	(A) BLACK OR AFRICAN AMERICAN
ZBTB9	6p21.32	8.05	8.10	0.31	0.31	-0.05	0.291	0.608	(B) WHITE
MAPRE2	18q12.1-q12.2	8.89	9.02	0.76	0.65	-0.13	0.291	0.608	(B) WHITE
CLPB	11q13.4	7.93	8.01	0.44	0.48	-0.08	0.291	0.609	(B) WHITE
KRT16	17q21.2	3.91	4.29	2.24	2.03	-0.39	0.291	0.609	(B) WHITE
SURF4	9q34.2	12.90	12.95	0.29	0.31	-0.05	0.291	0.609	(B) WHITE
PLA2G15	16q22.1	8.79	8.71	0.45	0.43	0.08	0.291	0.609	(A) BLACK OR AFRICAN AMERICAN
MOB3C	1p33	8.50	8.42	0.51	0.46	0.09	0.291	0.609	(A) BLACK OR AFRICAN AMERICAN
GFI1B	9q34.13	1.04	0.90	0.82	0.78	0.14	0.291	0.609	(A) BLACK OR AFRICAN AMERICAN
SLITRK6	13q31.1	6.38	6.60	1.30	1.36	-0.23	0.291	0.609	(B) WHITE
SMARCA1	Xq25-q26.1	10.82	10.94	0.69	0.74	-0.12	0.291	0.609	(B) WHITE
NEMF	14q21.3	9.58	9.63	0.29	0.31	-0.05	0.291	0.609	(B) WHITE
BIN3-IT1	8p21.3	0.69	0.57	0.67	0.54	0.11	0.291	0.609	(A) BLACK OR AFRICAN AMERICAN
COLEC10	8q24.12	0.88	0.67	1.24	0.83	0.21	0.291	0.609	(A) BLACK OR AFRICAN AMERICAN
LIPN	10q23.31	0.08	0.12	0.20	0.48	-0.04	0.291	0.609	(B) WHITE
KDM4E	11q21	0.67	0.81	0.83	0.91	-0.15	0.291	0.609	(B) WHITE
OTX2	14q22.3	0.12	0.04	0.53	0.20	0.09	0.292	0.609	(A) BLACK OR AFRICAN AMERICAN
FAU	11q13.1	12.87	12.80	0.40	0.45	0.07	0.292	0.609	(A) BLACK OR AFRICAN AMERICAN
CACNG1	17q24.2	2.91	2.61	1.71	1.63	0.30	0.292	0.609	(A) BLACK OR AFRICAN AMERICAN
CREB3	9p13.3	10.85	10.78	0.41	0.40	0.07	0.292	0.610	(A) BLACK OR AFRICAN AMERICAN
HMGN5	Xq21.1	6.85	6.67	1.08	1.00	0.19	0.292	0.610	(A) BLACK OR AFRICAN AMERICAN
PTBP2	1p21.3	8.27	8.34	0.45	0.44	-0.08	0.292	0.610	(B) WHITE
GNAL	18p11.21	6.48	6.69	1.21	1.14	-0.21	0.292	0.610	(B) WHITE
MPP2	17q21.31	6.63	6.84	1.21	1.14	-0.21	0.292	0.610	(B) WHITE
PANK4	1p36.32	8.77	8.82	0.27	0.25	-0.05	0.292	0.610	(B) WHITE
SLC52A2	8q24.3	10.09	9.99	0.53	0.54	0.09	0.292	0.610	(A) BLACK OR AFRICAN AMERICAN
TKT	3p21.1	11.86	11.94	0.46	0.50	-0.08	0.292	0.610	(B) WHITE
SNORD22	11q12.3	0.23	0.31	0.48	0.65	-0.09	0.292	0.610	(B) WHITE
TMEM235	17q25.3	0.07	0.12	0.27	0.29	-0.05	0.292	0.610	(B) WHITE
RPS12	6q23.2	13.96	13.86	0.48	0.97	0.10	0.292	0.610	(A) BLACK OR AFRICAN AMERICAN
CARD11	7p22.2	5.92	5.70	1.28	1.11	0.22	0.292	0.610	(A) BLACK OR AFRICAN AMERICAN
STK38L	12p11.23	9.55	9.63	0.41	0.44	-0.07	0.293	0.611	(B) WHITE
TAF15	17q12	11.55	11.60	0.24	0.30	-0.04	0.293	0.611	(B) WHITE
NR2F6	19p13.11	10.12	10.04	0.42	0.44	0.07	0.293	0.611	(A) BLACK OR AFRICAN AMERICAN
FGD4	12p11.21	8.56	8.68	0.71	0.67	-0.12	0.293	0.611	(B) WHITE
TMEM173	5q31.2	8.55	8.71	0.95	0.84	-0.16	0.293	0.611	(B) WHITE
TBC1D3P2	17q23.2	0.11	0.07	0.27	0.20	0.05	0.293	0.611	(A) BLACK OR AFRICAN AMERICAN
TSGA13	7q32.2	0.30	0.21	0.49	0.39	0.08	0.293	0.611	(A) BLACK OR AFRICAN AMERICAN
LY86	6p25.1	5.80	5.61	1.11	0.83	0.19	0.293	0.611	(A) BLACK OR AFRICAN AMERICAN
CD200R1	3q13.2	3.03	2.85	1.04	1.13	0.18	0.293	0.611	(A) BLACK OR AFRICAN AMERICAN
PGLYRP4	1q21.3	0.45	0.56	0.62	0.68	-0.11	0.293	0.611	(B) WHITE
TLL2	10q24.1	5.48	5.29	1.13	1.16	0.20	0.293	0.611	(A) BLACK OR AFRICAN AMERICAN
SPERT	13q14.13	0.07	0.11	0.24	0.30	-0.04	0.293	0.611	(B) WHITE
DIPK2B	Xp11.3	7.96	8.11	0.88	0.81	-0.15	0.293	0.611	(B) WHITE
PDZD7	10q24.31	2.62	2.47	0.85	0.92	0.15	0.293	0.611	(A) BLACK OR AFRICAN AMERICAN
HIPK3	11p13	9.54	9.67	0.76	0.79	-0.13	0.293	0.611	(B) WHITE
KRTAP12-2	21q22.3	0.03	0.01	0.11	0.07	0.02	0.293	0.611	(A) BLACK OR AFRICAN AMERICAN
TRAF6	11p12	6.99	7.07	0.46	0.40	-0.08	0.293	0.611	(B) WHITE
NXPH2	2q22.1	0.36	0.45	0.51	0.61	-0.09	0.293	0.611	(B) WHITE
MTR	1q43	9.65	9.72	0.38	0.39	-0.07	0.293	0.611	(B) WHITE
KLK6	19q13.41	0.93	1.11	1.02	1.10	-0.18	0.294	0.611	(B) WHITE
CDC42SE2	5q31.1	10.83	10.93	0.54	0.55	-0.09	0.294	0.611	(B) WHITE
HIST1H3I	6p22.1	0.14	0.20	0.32	0.52	-0.06	0.294	0.611	(B) WHITE
GPR146	7p22.3	6.37	6.46	0.53	0.52	-0.09	0.294	0.611	(B) WHITE
RENBP	Xq28	6.11	6.26	0.83	1.10	-0.15	0.294	0.611	(B) WHITE
DHRSX	Xp22.33 and Yp11.2	9.16	9.22	0.34	0.37	-0.06	0.294	0.611	(B) WHITE
GRID2	4q22.1-q22.2	0.50	0.70	1.20	1.22	-0.21	0.294	0.611	(B) WHITE
ACOX3	4p16.1	9.43	9.34	0.47	0.53	0.08	0.294	0.611	(A) BLACK OR AFRICAN AMERICAN
ZNF442	19p13.2	5.12	5.04	0.50	0.46	0.09	0.294	0.611	(A) BLACK OR AFRICAN AMERICAN
GRIPAP1	Xp11.23	10.18	10.13	0.24	0.29	0.04	0.294	0.612	(A) BLACK OR AFRICAN AMERICAN
IL1RN	2q14.1	4.98	5.18	1.11	1.23	-0.20	0.294	0.612	(B) WHITE
NCAM2	21q21.1	5.86	5.57	1.67	1.71	0.29	0.294	0.612	(A) BLACK OR AFRICAN AMERICAN
UBE2E2	3p24.3	9.17	9.24	0.41	0.38	-0.07	0.294	0.612	(B) WHITE
