Gene	Cytoband	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	Log Ratio	p-Value	q-Value	Higher methylation in
SAA1	11p15.1	0.54	0.56	0.12	0.11	-0.02	0.441	0.706	(B) WHITE
PIH1D2	11q23.1	0.06	0.06	0.01	0.02	0.00	0.441	0.706	(A) BLACK OR AFRICAN AMERICAN
LINC00852	3p25.3	0.92	0.92	0.03	0.04	0.00	0.441	0.706	(A) BLACK OR AFRICAN AMERICAN
NXPE2	11q23.2-q23.3	0.87	0.87	0.07	0.07	-0.01	0.441	0.706	(B) WHITE
OTP	5q14.1	0.30	0.32	0.19	0.16	-0.02	0.441	0.706	(B) WHITE
SYS1-DBNDD2	20q13.12	0.07	0.07	0.02	0.02	0.00	0.442	0.706	(A) BLACK OR AFRICAN AMERICAN
YIPF3	6p21.1	0.02	0.02	0.00	0.00	0.00	0.442	0.706	(A) BLACK OR AFRICAN AMERICAN
AIDA	1q41	0.46	0.45	0.05	0.06	0.01	0.442	0.706	(A) BLACK OR AFRICAN AMERICAN
SRRM1	1p36.11	0.06	0.05	0.02	0.02	0.00	0.442	0.706	(A) BLACK OR AFRICAN AMERICAN
GDF7	2p24.1	0.78	0.77	0.11	0.10	0.01	0.442	0.706	(A) BLACK OR AFRICAN AMERICAN
SPSB2	12p13.31	0.07	0.07	0.03	0.03	0.00	0.442	0.706	(A) BLACK OR AFRICAN AMERICAN
FXN	9q21.11	0.08	0.08	0.02	0.02	0.00	0.442	0.706	(A) BLACK OR AFRICAN AMERICAN
CDH10	5p14.2-p14.1	0.07	0.06	0.07	0.05	0.01	0.442	0.706	(A) BLACK OR AFRICAN AMERICAN
PHLPP1	18q21.33	0.01	0.01	0.00	0.01	-0.00	0.442	0.706	(B) WHITE
ZNF846	19p13.2	0.02	0.02	0.00	0.00	0.00	0.442	0.706	(A) BLACK OR AFRICAN AMERICAN
ACKR1	1q23.2	0.65	0.68	0.20	0.16	-0.02	0.442	0.706	(B) WHITE
RELCH	18q21.33	0.04	0.03	0.01	0.01	0.00	0.442	0.706	(A) BLACK OR AFRICAN AMERICAN
PTK2B	8p21.2	0.89	0.89	0.06	0.04	-0.01	0.442	0.706	(B) WHITE
TET3	2p13.1	0.92	0.93	0.03	0.03	-0.00	0.442	0.706	(B) WHITE
NHLRC1	6p22.3	0.44	0.42	0.18	0.13	0.02	0.443	0.706	(A) BLACK OR AFRICAN AMERICAN
RPGRIP1	14q11.2	0.92	0.93	0.03	0.02	-0.00	0.443	0.707	(B) WHITE
TNNI3	19q13.42	0.69	0.70	0.08	0.08	-0.01	0.443	0.707	(B) WHITE
ANKK1	11q23.2	0.91	0.92	0.02	0.02	-0.00	0.443	0.707	(B) WHITE
DPF1	19q13.2	0.05	0.05	0.01	0.01	0.00	0.443	0.707	(A) BLACK OR AFRICAN AMERICAN
C9ORF152	9q31.3	0.70	0.71	0.13	0.12	-0.02	0.443	0.707	(B) WHITE
TMEM14C	6p24.2	0.89	0.88	0.03	0.04	0.00	0.443	0.707	(A) BLACK OR AFRICAN AMERICAN
DENND5A	11p15.4	0.61	0.58	0.17	0.16	0.02	0.444	0.708	(A) BLACK OR AFRICAN AMERICAN
ARPC4	3p25.3	0.77	0.79	0.10	0.09	-0.01	0.444	0.708	(B) WHITE
PRCD	17q25.1	0.82	0.82	0.05	0.05	0.01	0.444	0.708	(A) BLACK OR AFRICAN AMERICAN
KRTAP5-2	11p15.5	0.87	0.87	0.05	0.05	-0.01	0.444	0.708	(B) WHITE
HOOK3	8p11.21	0.02	0.02	0.00	0.01	0.00	0.444	0.708	(A) BLACK OR AFRICAN AMERICAN
NCBP3	17p13.2	0.02	0.02	0.00	0.00	-0.00	0.444	0.708	(B) WHITE
BPNT1	1q41	0.04	0.04	0.01	0.01	0.00	0.444	0.708	(A) BLACK OR AFRICAN AMERICAN
PDLIM7	5q35.3	0.72	0.71	0.05	0.05	0.01	0.444	0.708	(A) BLACK OR AFRICAN AMERICAN
TMEM155	4q27	0.56	0.59	0.19	0.17	-0.02	0.444	0.708	(B) WHITE
P2RY12	3q25.1	0.89	0.88	0.05	0.06	0.01	0.444	0.708	(A) BLACK OR AFRICAN AMERICAN
EGR2	10q21.3	0.98	0.98	0.01	0.01	0.00	0.444	0.708	(A) BLACK OR AFRICAN AMERICAN
MYCN	2p24.3	0.11	0.12	0.07	0.08	-0.01	0.445	0.708	(B) WHITE
C3ORF38	3p11.1	0.07	0.07	0.02	0.03	0.00	0.445	0.708	(A) BLACK OR AFRICAN AMERICAN
MXD1	2p13.3	0.03	0.02	0.00	0.01	0.00	0.445	0.708	(A) BLACK OR AFRICAN AMERICAN
LY6H	8q24.3	0.06	0.07	0.06	0.07	-0.01	0.445	0.708	(B) WHITE
MUC4	3q29	0.67	0.66	0.08	0.08	0.01	0.445	0.708	(A) BLACK OR AFRICAN AMERICAN
FOXO3B	17p11.2	0.82	0.82	0.05	0.05	-0.01	0.445	0.708	(B) WHITE
ZNF451	6p12.1	0.07	0.06	0.01	0.02	0.00	0.445	0.709	(A) BLACK OR AFRICAN AMERICAN
ARL14	3q25.33	0.86	0.86	0.04	0.06	0.01	0.445	0.709	(A) BLACK OR AFRICAN AMERICAN
GJA5	1q21.2	0.56	0.57	0.12	0.12	-0.02	0.445	0.709	(B) WHITE
PWWP3A	19p13.3	0.93	0.93	0.02	0.02	0.00	0.445	0.709	(A) BLACK OR AFRICAN AMERICAN
SLAMF9	1q23.2	0.75	0.74	0.11	0.11	0.01	0.445	0.709	(A) BLACK OR AFRICAN AMERICAN
SREK1IP1	5q12.3	0.06	0.06	0.02	0.03	0.00	0.446	0.709	(A) BLACK OR AFRICAN AMERICAN
TNS4	17q21.2	0.75	0.73	0.12	0.12	0.02	0.446	0.709	(A) BLACK OR AFRICAN AMERICAN
DENND4A	15q22.31	0.02	0.02	0.00	0.00	0.00	0.446	0.709	(A) BLACK OR AFRICAN AMERICAN
CCL16	17q12	0.85	0.87	0.09	0.10	-0.01	0.446	0.709	(B) WHITE
LMAN1L	15q24.1	0.54	0.55	0.12	0.10	-0.02	0.446	0.709	(B) WHITE
PPARGC1B	5q32	0.71	0.69	0.11	0.12	0.01	0.446	0.710	(A) BLACK OR AFRICAN AMERICAN
ATP5F1C	10p14	0.02	0.03	0.01	0.01	-0.00	0.446	0.710	(B) WHITE
PARPBP	12q23.2	0.04	0.04	0.01	0.01	0.00	0.446	0.710	(A) BLACK OR AFRICAN AMERICAN
HLA-DRB5	6p21.32	0.65	0.63	0.16	0.14	0.02	0.446	0.710	(A) BLACK OR AFRICAN AMERICAN
UBAC1	9q34.3	0.92	0.92	0.02	0.02	0.00	0.447	0.710	(A) BLACK OR AFRICAN AMERICAN
CLASP1	2q14.2-q14.3	0.78	0.77	0.08	0.09	0.01	0.447	0.710	(A) BLACK OR AFRICAN AMERICAN
CMTR1	6p21.2	0.90	0.89	0.06	0.06	0.01	0.447	0.710	(A) BLACK OR AFRICAN AMERICAN
DDX43	6q13	0.72	0.69	0.21	0.24	0.03	0.447	0.710	(A) BLACK OR AFRICAN AMERICAN
KLRG2	7q34	0.12	0.10	0.17	0.15	0.02	0.447	0.710	(A) BLACK OR AFRICAN AMERICAN
LINC00115	1p36.33	0.04	0.04	0.01	0.01	0.00	0.447	0.711	(A) BLACK OR AFRICAN AMERICAN
HIPK2	7q34	0.42	0.44	0.18	0.18	-0.02	0.447	0.711	(B) WHITE
SPAG8	9p13.3	0.88	0.88	0.02	0.03	0.00	0.447	0.711	(A) BLACK OR AFRICAN AMERICAN
TMEM8A	16p13.3	0.53	0.51	0.16	0.16	0.02	0.447	0.711	(A) BLACK OR AFRICAN AMERICAN
IL1R1	2q11.2-q12.1	0.58	0.60	0.16	0.16	-0.02	0.447	0.711	(B) WHITE
TJP1	15q13.1	0.04	0.04	0.01	0.01	0.00	0.447	0.711	(A) BLACK OR AFRICAN AMERICAN
GANAB	11q12.3	0.02	0.02	0.00	0.02	-0.00	0.447	0.711	(B) WHITE
PTCH2	1p34.1	0.78	0.77	0.05	0.05	0.01	0.448	0.711	(A) BLACK OR AFRICAN AMERICAN
GPN3	12q24.11	0.85	0.86	0.07	0.06	-0.01	0.448	0.711	(B) WHITE
NEK2	1q32.3	0.04	0.04	0.01	0.01	0.00	0.448	0.711	(A) BLACK OR AFRICAN AMERICAN
ADAM32	8p11.22	0.46	0.43	0.24	0.23	0.03	0.448	0.711	(A) BLACK OR AFRICAN AMERICAN
TELO2	16p13.3	0.06	0.06	0.02	0.02	-0.00	0.448	0.711	(B) WHITE
FLNB	3p14.3	0.21	0.22	0.06	0.06	-0.01	0.448	0.711	(B) WHITE
APOF	12q13.3	0.39	0.41	0.16	0.13	-0.02	0.448	0.712	(B) WHITE
ECSIT	19p13.2	0.03	0.03	0.01	0.01	-0.00	0.448	0.712	(B) WHITE
FAAH	1p33	0.17	0.18	0.07	0.07	-0.01	0.448	0.712	(B) WHITE
NOL10	2p25.1	0.84	0.85	0.11	0.07	-0.01	0.448	0.712	(B) WHITE
MAP4	3p21.31	0.89	0.88	0.05	0.04	0.01	0.449	0.712	(A) BLACK OR AFRICAN AMERICAN
SRSF12	6q15	0.04	0.03	0.02	0.03	0.00	0.449	0.712	(A) BLACK OR AFRICAN AMERICAN
SLC25A32	8q22.3	0.02	0.02	0.00	0.00	-0.00	0.449	0.712	(B) WHITE
HDAC11	3p25.1	0.14	0.13	0.06	0.05	0.01	0.449	0.712	(A) BLACK OR AFRICAN AMERICAN
SLC8A3	14q24.2	0.65	0.63	0.11	0.10	0.01	0.449	0.712	(A) BLACK OR AFRICAN AMERICAN
MYCL	1p34.2	0.79	0.80	0.13	0.09	-0.02	0.449	0.712	(B) WHITE
PARG	10q11.23	0.82	0.81	0.06	0.06	0.01	0.449	0.712	(A) BLACK OR AFRICAN AMERICAN
ADAMTSL2	9q34.2	0.65	0.64	0.07	0.07	0.01	0.449	0.712	(A) BLACK OR AFRICAN AMERICAN
MINAR1	15q25.1	0.95	0.95	0.01	0.03	0.00	0.449	0.712	(A) BLACK OR AFRICAN AMERICAN
LSM5	7p14.3	0.07	0.08	0.02	0.02	-0.00	0.449	0.712	(B) WHITE
TALDO1	11p15.5	0.17	0.19	0.10	0.09	-0.01	0.449	0.712	(B) WHITE
CCDC112	5q22.3	0.08	0.08	0.03	0.03	0.00	0.449	0.712	(A) BLACK OR AFRICAN AMERICAN
KL	13q13.1	0.70	0.68	0.17	0.15	0.02	0.449	0.712	(A) BLACK OR AFRICAN AMERICAN
KLK11	19q13.41	0.57	0.55	0.11	0.11	0.01	0.450	0.712	(A) BLACK OR AFRICAN AMERICAN
RCN3	19q13.33	0.76	0.75	0.09	0.08	0.01	0.450	0.712	(A) BLACK OR AFRICAN AMERICAN
CDK7	5q13.2	0.04	0.04	0.01	0.01	0.00	0.450	0.712	(A) BLACK OR AFRICAN AMERICAN
LAPTM4A	2p24.1	0.69	0.68	0.10	0.10	0.01	0.450	0.712	(A) BLACK OR AFRICAN AMERICAN
HOXB5	17q21.32	0.71	0.70	0.10	0.09	0.01	0.450	0.712	(A) BLACK OR AFRICAN AMERICAN
ZNF184	6p22.1	0.71	0.69	0.14	0.15	0.02	0.450	0.712	(A) BLACK OR AFRICAN AMERICAN
C19ORF57	19p13.12	0.68	0.66	0.15	0.14	0.02	0.450	0.712	(A) BLACK OR AFRICAN AMERICAN
WASH5P	19p13.3	0.13	0.12	0.05	0.05	0.01	0.450	0.713	(A) BLACK OR AFRICAN AMERICAN
TNFRSF6B	20q13.33	0.57	0.56	0.11	0.11	0.01	0.450	0.713	(A) BLACK OR AFRICAN AMERICAN
IMP4	2q21.1	0.64	0.62	0.17	0.16	0.02	0.450	0.713	(A) BLACK OR AFRICAN AMERICAN
EWSAT1	15q23	0.82	0.83	0.04	0.05	-0.00	0.450	0.713	(B) WHITE
SLC6A11	3p25.3	0.14	0.13	0.09	0.09	0.01	0.450	0.713	(A) BLACK OR AFRICAN AMERICAN
POU5F1	6p21.33	0.92	0.92	0.02	0.02	-0.00	0.450	0.713	(B) WHITE
PLCD1	3p22.2	0.78	0.77	0.12	0.13	0.02	0.450	0.713	(A) BLACK OR AFRICAN AMERICAN
OR52R1	11p15.4	0.90	0.90	0.02	0.03	-0.00	0.450	0.713	(B) WHITE
TAL1	1p33	0.80	0.79	0.05	0.04	0.01	0.450	0.713	(A) BLACK OR AFRICAN AMERICAN
CXCL9	4q21.1	0.80	0.78	0.14	0.13	0.02	0.450	0.713	(A) BLACK OR AFRICAN AMERICAN
PNLIP	10q25.3	0.60	0.62	0.16	0.14	-0.02	0.451	0.713	(B) WHITE
ZMYM2	13q12.11	0.02	0.02	0.00	0.00	-0.00	0.451	0.713	(B) WHITE
COQ7	16p12.3	0.29	0.31	0.13	0.14	-0.02	0.451	0.713	(B) WHITE
RAB13	1q21.3	0.12	0.11	0.07	0.05	0.01	0.451	0.713	(A) BLACK OR AFRICAN AMERICAN
SYNPO	5q33.1	0.86	0.85	0.05	0.05	0.01	0.451	0.713	(A) BLACK OR AFRICAN AMERICAN
SYT15	10q11.22	0.61	0.60	0.10	0.08	0.01	0.451	0.713	(A) BLACK OR AFRICAN AMERICAN
ZNF621	3p22.1	0.08	0.09	0.02	0.02	-0.00	0.451	0.713	(B) WHITE
LSS	21q22.3	0.62	0.60	0.20	0.18	0.02	0.451	0.713	(A) BLACK OR AFRICAN AMERICAN
COL6A4P2	3q22.1	0.88	0.89	0.06	0.06	-0.01	0.451	0.713	(B) WHITE
SLC15A4	12q24.33	0.86	0.86	0.04	0.03	-0.00	0.451	0.713	(B) WHITE
TCL6	14q32.13	0.36	0.38	0.17	0.15	-0.02	0.451	0.713	(B) WHITE
CALR	19p13.13	0.46	0.47	0.09	0.09	-0.01	0.451	0.713	(B) WHITE
ANKHD1-EIF4EBP3	5q31.3	0.02	0.02	0.02	0.05	-0.00	0.451	0.713	(B) WHITE
RASA3	13q34	0.64	0.62	0.17	0.15	0.02	0.451	0.713	(A) BLACK OR AFRICAN AMERICAN
RABIF	1q32.1	0.03	0.03	0.01	0.01	-0.00	0.451	0.713	(B) WHITE
ARPIN	15q26.1	0.70	0.68	0.13	0.12	0.02	0.452	0.713	(A) BLACK OR AFRICAN AMERICAN
DCP2	5q22.2	0.04	0.04	0.01	0.03	-0.00	0.452	0.713	(B) WHITE
KCNE1	21q22.12	0.89	0.90	0.07	0.04	-0.01	0.452	0.713	(B) WHITE
ARHGEF4	2q21.1	0.88	0.87	0.03	0.03	0.00	0.452	0.714	(A) BLACK OR AFRICAN AMERICAN
MED28	4p15.32	0.03	0.03	0.00	0.01	0.00	0.452	0.714	(A) BLACK OR AFRICAN AMERICAN
ING1	13q34	0.04	0.03	0.01	0.01	0.00	0.452	0.714	(A) BLACK OR AFRICAN AMERICAN
TIGD6	5q32	0.23	0.25	0.11	0.10	-0.01	0.452	0.714	(B) WHITE
CHRD	3q27.1	0.89	0.89	0.02	0.03	0.00	0.452	0.714	(A) BLACK OR AFRICAN AMERICAN
TOR2A	9q34.11	0.31	0.30	0.06	0.06	0.01	0.453	0.714	(A) BLACK OR AFRICAN AMERICAN
FSD1	19p13.3	0.72	0.69	0.19	0.21	0.02	0.453	0.714	(A) BLACK OR AFRICAN AMERICAN
RFX6	6q22.1	0.15	0.13	0.11	0.11	0.01	0.453	0.714	(A) BLACK OR AFRICAN AMERICAN
GNPAT	1q42.2	0.13	0.12	0.07	0.04	0.01	0.453	0.714	(A) BLACK OR AFRICAN AMERICAN
TBC1D9	4q31.21	0.33	0.35	0.20	0.18	-0.02	0.453	0.714	(B) WHITE
RPP25L	9p13.3	0.05	0.05	0.01	0.01	0.00	0.453	0.714	(A) BLACK OR AFRICAN AMERICAN
KCTD3	1q41	0.02	0.02	0.00	0.00	0.00	0.453	0.714	(A) BLACK OR AFRICAN AMERICAN
MSX2P1	17q22	0.19	0.17	0.16	0.16	0.02	0.453	0.714	(A) BLACK OR AFRICAN AMERICAN
SPRYD4	12q13.3	0.24	0.23	0.08	0.07	0.01	0.453	0.714	(A) BLACK OR AFRICAN AMERICAN
KDF1	1p36.11	0.24	0.25	0.09	0.08	-0.01	0.453	0.714	(B) WHITE
PDCD2L	19q13.11	0.12	0.13	0.03	0.03	-0.00	0.453	0.715	(B) WHITE
CSMD3	8q23.3	0.09	0.10	0.07	0.09	-0.01	0.453	0.715	(B) WHITE
PPP1R8	1p35.3	0.62	0.63	0.13	0.11	-0.02	0.453	0.715	(B) WHITE
CDK2	12q13.2	0.05	0.05	0.05	0.06	0.01	0.453	0.715	(A) BLACK OR AFRICAN AMERICAN
CAPZA2	7q31.2	0.08	0.08	0.02	0.03	-0.00	0.453	0.715	(B) WHITE
STRBP	9q33.3	0.02	0.02	0.00	0.00	0.00	0.454	0.715	(A) BLACK OR AFRICAN AMERICAN
TAF1B	2p25.1	0.90	0.91	0.04	0.04	-0.01	0.454	0.715	(B) WHITE
PYGB	20p11.21	0.77	0.75	0.13	0.13	0.02	0.454	0.715	(A) BLACK OR AFRICAN AMERICAN
SPATC1	8q24.3	0.73	0.73	0.07	0.07	-0.01	0.454	0.715	(B) WHITE
RAB17	2q37.3	0.40	0.42	0.15	0.14	-0.02	0.454	0.715	(B) WHITE
FAM234B	12p13.1	0.45	0.47	0.19	0.18	-0.02	0.454	0.715	(B) WHITE
MSANTD4	11q22.3	0.06	0.05	0.04	0.07	0.01	0.454	0.715	(A) BLACK OR AFRICAN AMERICAN
APOBEC3H	22q13.1	0.73	0.74	0.07	0.08	-0.01	0.454	0.715	(B) WHITE
LONRF1	8p23.1	0.41	0.39	0.21	0.20	0.03	0.454	0.715	(A) BLACK OR AFRICAN AMERICAN
CA9	9p13.3	0.91	0.91	0.04	0.03	-0.01	0.454	0.715	(B) WHITE
C1ORF61	1q22	0.85	0.86	0.05	0.07	-0.01	0.454	0.715	(B) WHITE
GPRIN3	4q22.1	0.88	0.87	0.06	0.06	0.01	0.455	0.715	(A) BLACK OR AFRICAN AMERICAN
DNAJC28	21q22.11	0.03	0.03	0.00	0.01	-0.00	0.455	0.716	(B) WHITE
SERGEF	11p15.1	0.17	0.17	0.07	0.05	0.01	0.455	0.716	(A) BLACK OR AFRICAN AMERICAN
SORBS3	8p21.3	0.04	0.03	0.09	0.05	0.01	0.455	0.716	(A) BLACK OR AFRICAN AMERICAN
IL12B	5q33.3	0.14	0.12	0.18	0.17	0.02	0.455	0.716	(A) BLACK OR AFRICAN AMERICAN
CSDC2	22q13.2	0.78	0.78	0.05	0.05	0.01	0.455	0.716	(A) BLACK OR AFRICAN AMERICAN
ZNF251	8q24.3	0.91	0.91	0.03	0.05	0.00	0.455	0.716	(A) BLACK OR AFRICAN AMERICAN
HOXA1	7p15.2	0.59	0.58	0.12	0.11	0.01	0.455	0.716	(A) BLACK OR AFRICAN AMERICAN
SMURF2	17q23.3-q24.1	0.62	0.64	0.17	0.18	-0.02	0.456	0.716	(B) WHITE
DNAJC4	11q13.1	0.06	0.06	0.04	0.05	0.00	0.456	0.717	(A) BLACK OR AFRICAN AMERICAN
C22ORF42	22q12.3	0.84	0.85	0.09	0.08	-0.01	0.456	0.717	(B) WHITE
UHRF1BP1L	12q23.1	0.18	0.17	0.06	0.07	0.01	0.456	0.717	(A) BLACK OR AFRICAN AMERICAN
MYH14	19q13.33	0.12	0.11	0.12	0.12	0.01	0.456	0.717	(A) BLACK OR AFRICAN AMERICAN
S100A14	1q21.3	0.71	0.69	0.11	0.11	0.01	0.456	0.717	(A) BLACK OR AFRICAN AMERICAN
MRPL41	9q34.3	0.05	0.06	0.01	0.01	-0.00	0.456	0.717	(B) WHITE
TAGAP	6q25.3	0.92	0.93	0.03	0.03	-0.00	0.456	0.717	(B) WHITE
SPATA1	1p22.3	0.16	0.16	0.02	0.02	-0.00	0.456	0.717	(B) WHITE
FAM174B	15q26.1	0.69	0.71	0.17	0.14	-0.02	0.456	0.717	(B) WHITE
TTC16	9q34.11	0.06	0.06	0.01	0.01	-0.00	0.456	0.717	(B) WHITE
OR2H2	6p22.1	0.56	0.57	0.13	0.11	-0.02	0.456	0.717	(B) WHITE
CWC15	11q21	0.08	0.08	0.01	0.01	-0.00	0.456	0.717	(B) WHITE
KIAA1324L	7q21.12	0.50	0.51	0.13	0.13	-0.02	0.457	0.717	(B) WHITE
PLCB2	15q15.1	0.93	0.94	0.05	0.05	-0.01	0.457	0.717	(B) WHITE
TOX2	20q13.12	0.15	0.13	0.14	0.13	0.02	0.457	0.717	(A) BLACK OR AFRICAN AMERICAN
CAVIN2	2q32.3	0.67	0.66	0.11	0.11	0.01	0.457	0.717	(A) BLACK OR AFRICAN AMERICAN
CYTL1	4p16.2	0.42	0.44	0.13	0.13	-0.02	0.457	0.717	(B) WHITE
PGLYRP2	19p13.12	0.19	0.20	0.06	0.06	-0.01	0.457	0.718	(B) WHITE
RPL18A	19p13.11	0.44	0.42	0.15	0.15	0.02	0.458	0.718	(A) BLACK OR AFRICAN AMERICAN
WHAMMP2	15q13.1	0.07	0.08	0.07	0.08	-0.01	0.458	0.719	(B) WHITE
ADGRF4	6p12.3	0.83	0.83	0.07	0.07	0.01	0.458	0.719	(A) BLACK OR AFRICAN AMERICAN
NFIC	19p13.3	0.01	0.01	0.00	0.00	0.00	0.458	0.719	(A) BLACK OR AFRICAN AMERICAN
ALKBH7	19p13.3	0.05	0.05	0.01	0.01	-0.00	0.458	0.719	(B) WHITE
EPS8	12p12.3	0.89	0.89	0.04	0.03	0.00	0.458	0.719	(A) BLACK OR AFRICAN AMERICAN
FAM220A	7p22.1	0.04	0.04	0.01	0.02	0.00	0.458	0.719	(A) BLACK OR AFRICAN AMERICAN
OIP5	15q15.1	0.04	0.04	0.01	0.01	-0.00	0.458	0.719	(B) WHITE
IRF7	11p15.5	0.11	0.12	0.05	0.05	-0.01	0.458	0.719	(B) WHITE
BTN3A3	6p22.2	0.74	0.72	0.10	0.09	0.01	0.459	0.719	(A) BLACK OR AFRICAN AMERICAN
ATP6V0C	16p13.3	0.20	0.19	0.08	0.07	0.01	0.459	0.719	(A) BLACK OR AFRICAN AMERICAN
CDH17	8q22.1	0.36	0.38	0.14	0.12	-0.02	0.459	0.719	(B) WHITE
EXOC3L2	19q13.32	0.93	0.93	0.02	0.02	-0.00	0.459	0.719	(B) WHITE
NUP93	16q13	0.51	0.49	0.16	0.16	0.02	0.459	0.719	(A) BLACK OR AFRICAN AMERICAN
TGFBR2	3p24.1	0.87	0.87	0.06	0.05	0.01	0.459	0.719	(A) BLACK OR AFRICAN AMERICAN
SLC7A2	8p22	0.74	0.76	0.13	0.11	-0.02	0.459	0.719	(B) WHITE
IGIP	5q31.3	0.89	0.90	0.05	0.06	-0.01	0.459	0.719	(B) WHITE
SERINC4	15q15.3	0.85	0.83	0.09	0.12	0.01	0.459	0.719	(A) BLACK OR AFRICAN AMERICAN
PLIN4	19p13.3	0.78	0.78	0.04	0.04	0.00	0.459	0.720	(A) BLACK OR AFRICAN AMERICAN
KANSL1L	2q34	0.04	0.04	0.02	0.02	0.00	0.460	0.720	(A) BLACK OR AFRICAN AMERICAN
CTSG	14q12	0.86	0.87	0.10	0.08	-0.01	0.460	0.720	(B) WHITE
MIA2	14q13.2	0.61	0.65	0.26	0.22	-0.03	0.460	0.720	(B) WHITE
SEC61A1	3q21.3	0.76	0.77	0.07	0.07	-0.01	0.460	0.720	(B) WHITE
EPYC	12q21.33	0.87	0.87	0.06	0.07	-0.01	0.460	0.720	(B) WHITE
C17ORF82	17q23.2	0.56	0.58	0.17	0.14	-0.02	0.460	0.720	(B) WHITE
BNIP2	15q22.2	0.51	0.50	0.05	0.05	0.01	0.460	0.721	(A) BLACK OR AFRICAN AMERICAN
SDHAP1	3q29	0.93	0.92	0.03	0.04	0.00	0.460	0.721	(A) BLACK OR AFRICAN AMERICAN
GFPT2	5q35.3	0.86	0.85	0.09	0.08	0.01	0.461	0.721	(A) BLACK OR AFRICAN AMERICAN
HSP90B3P	1p22.1	0.92	0.92	0.02	0.02	0.00	0.461	0.721	(A) BLACK OR AFRICAN AMERICAN
DMBX1	1p33	0.83	0.83	0.03	0.05	0.00	0.461	0.722	(A) BLACK OR AFRICAN AMERICAN
OR7C1	19p13.12	0.26	0.28	0.13	0.10	-0.02	0.461	0.722	(B) WHITE
PON1	7q21.3	0.93	0.93	0.04	0.03	-0.00	0.462	0.722	(B) WHITE
NUDT14	14q32.33	0.02	0.02	0.00	0.00	0.00	0.462	0.722	(A) BLACK OR AFRICAN AMERICAN
RIPPLY3	21q22.13	0.26	0.28	0.12	0.10	-0.01	0.462	0.722	(B) WHITE
AK8	9q34.13	0.11	0.09	0.16	0.12	0.02	0.462	0.722	(A) BLACK OR AFRICAN AMERICAN
SLC51A	3q29	0.42	0.40	0.11	0.10	0.01	0.462	0.722	(A) BLACK OR AFRICAN AMERICAN
DACT1	14q23.1	0.87	0.86	0.08	0.06	0.01	0.462	0.722	(A) BLACK OR AFRICAN AMERICAN
GJC1	17q21.31	0.45	0.43	0.15	0.17	0.02	0.462	0.723	(A) BLACK OR AFRICAN AMERICAN
PCDHB16	5q31.3	0.60	0.63	0.21	0.17	-0.03	0.462	0.723	(B) WHITE
NETO2	16q12.1	0.06	0.06	0.05	0.02	0.01	0.462	0.723	(A) BLACK OR AFRICAN AMERICAN
RABEPK	9q33.3	0.93	0.93	0.02	0.03	-0.00	0.462	0.723	(B) WHITE
PATL1	11q12.1	0.03	0.03	0.01	0.01	-0.00	0.462	0.723	(B) WHITE
SOCS5	2p21	0.03	0.03	0.01	0.01	0.00	0.463	0.723	(A) BLACK OR AFRICAN AMERICAN
TMEM105	17q25.3	0.50	0.51	0.12	0.12	-0.01	0.463	0.723	(B) WHITE
PCDH7	4p15.1	0.56	0.55	0.14	0.13	0.02	0.463	0.723	(A) BLACK OR AFRICAN AMERICAN
TSPAN33	7q32.1	0.05	0.05	0.02	0.02	-0.00	0.463	0.723	(B) WHITE
PGBD5	1q42.13	0.76	0.75	0.12	0.12	0.01	0.463	0.723	(A) BLACK OR AFRICAN AMERICAN
ZNF559	19p13.2	0.03	0.03	0.01	0.01	0.00	0.463	0.723	(A) BLACK OR AFRICAN AMERICAN
LOC100130093	1q42.13	0.26	0.27	0.06	0.06	-0.01	0.463	0.723	(B) WHITE
ECEL1	2q37.1	0.44	0.43	0.09	0.09	0.01	0.463	0.723	(A) BLACK OR AFRICAN AMERICAN
ERCC4	16p13.12	0.10	0.10	0.03	0.04	0.00	0.463	0.723	(A) BLACK OR AFRICAN AMERICAN
TMUB1	7q36.1	0.05	0.06	0.03	0.03	-0.00	0.463	0.723	(B) WHITE
DNM1P35	15q24.2	0.27	0.25	0.16	0.16	0.02	0.463	0.723	(A) BLACK OR AFRICAN AMERICAN
ZNF154	19q13.43	0.71	0.68	0.22	0.20	0.03	0.463	0.723	(A) BLACK OR AFRICAN AMERICAN
PRELID1	5q35.3	0.41	0.39	0.11	0.12	0.01	0.463	0.723	(A) BLACK OR AFRICAN AMERICAN
DCLRE1B	1p13.2	0.31	0.30	0.08	0.08	0.01	0.463	0.723	(A) BLACK OR AFRICAN AMERICAN
LTO1	11q13.3	0.06	0.06	0.01	0.01	-0.00	0.463	0.723	(B) WHITE
ZNF787	19q13.43	0.92	0.92	0.02	0.02	-0.00	0.464	0.723	(B) WHITE
ZNF521	18q11.2	0.55	0.53	0.18	0.17	0.02	0.464	0.723	(A) BLACK OR AFRICAN AMERICAN
HS1BP3	2p24.1	0.02	0.02	0.00	0.00	0.00	0.464	0.723	(A) BLACK OR AFRICAN AMERICAN
LOC388955	2p15	0.92	0.93	0.02	0.02	-0.00	0.464	0.723	(B) WHITE
