Gene	Cytoband	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	Log Ratio	p-Value	q-Value	Higher methylation in
DUS4L	7q22.3	0.46	0.41	0.22	0.19	0.04	0.120	0.266	(A) BLACK OR AFRICAN AMERICAN
ECT2	3q26.31	0.88	0.87	0.02	0.03	0.01	0.120	0.266	(A) BLACK OR AFRICAN AMERICAN
SDHAF4	6q13	0.06	0.06	0.03	0.03	0.01	0.120	0.266	(A) BLACK OR AFRICAN AMERICAN
OPRK1	8q11.23	0.05	0.07	0.10	0.14	-0.02	0.120	0.266	(B) WHITE
C6ORF163	6q15	0.79	0.83	0.16	0.12	-0.03	0.120	0.266	(B) WHITE
SH3GL2	9p22.2	0.14	0.17	0.14	0.17	-0.03	0.120	0.266	(B) WHITE
ACP5	19p13.2	0.71	0.73	0.12	0.11	-0.02	0.120	0.266	(B) WHITE
TMEM67	8q22.1	0.01	0.01	0.00	0.00	0.00	0.120	0.266	(A) BLACK OR AFRICAN AMERICAN
ETV3	1q23.1	0.86	0.87	0.10	0.07	-0.02	0.120	0.266	(B) WHITE
GTSE1-DT	22q13.31	0.05	0.04	0.04	0.08	0.01	0.120	0.266	(A) BLACK OR AFRICAN AMERICAN
SIX5	19q13.32	0.32	0.28	0.17	0.16	0.03	0.121	0.267	(A) BLACK OR AFRICAN AMERICAN
TMPRSS6	22q12.3	0.89	0.91	0.09	0.06	-0.02	0.121	0.267	(B) WHITE
SEPTIN2	2q37.3	0.02	0.02	0.00	0.00	0.00	0.121	0.267	(A) BLACK OR AFRICAN AMERICAN
TTC32	2p24.1	0.05	0.06	0.03	0.06	-0.01	0.121	0.267	(B) WHITE
KLHL26	19p13.11	0.02	0.03	0.01	0.02	-0.00	0.121	0.267	(B) WHITE
GNB5	15q21.2	0.63	0.60	0.14	0.15	0.03	0.121	0.267	(A) BLACK OR AFRICAN AMERICAN
ZNF597	16p13.3	0.48	0.44	0.17	0.16	0.03	0.121	0.267	(A) BLACK OR AFRICAN AMERICAN
WDTC1	1p36.11	0.07	0.07	0.02	0.02	-0.00	0.121	0.267	(B) WHITE
ZNF143	11p15.4	0.02	0.02	0.01	0.01	0.00	0.121	0.267	(A) BLACK OR AFRICAN AMERICAN
SPATA46	1q23.3	0.73	0.75	0.08	0.09	-0.02	0.121	0.267	(B) WHITE
EEPD1	7p14.2	0.65	0.68	0.16	0.14	-0.03	0.121	0.268	(B) WHITE
PIAS1	15q23	0.03	0.03	0.01	0.01	0.00	0.121	0.268	(A) BLACK OR AFRICAN AMERICAN
SPPL3	12q24.31	0.07	0.06	0.02	0.02	0.00	0.121	0.268	(A) BLACK OR AFRICAN AMERICAN
LOC388242	16p11.2	0.10	0.07	0.11	0.07	0.02	0.121	0.268	(A) BLACK OR AFRICAN AMERICAN
SUZ12	17q11.2	0.04	0.04	0.01	0.01	0.00	0.121	0.268	(A) BLACK OR AFRICAN AMERICAN
EPPK1	8q24.3	0.63	0.61	0.12	0.14	0.03	0.121	0.268	(A) BLACK OR AFRICAN AMERICAN
WDR74	11q12.3	0.91	0.91	0.03	0.03	-0.01	0.121	0.268	(B) WHITE
RNASE2	14q11.2	0.67	0.69	0.10	0.08	-0.02	0.121	0.268	(B) WHITE
FAM8A1	6p22.3	0.02	0.02	0.00	0.00	0.00	0.121	0.268	(A) BLACK OR AFRICAN AMERICAN
CTSK	1q21.3	0.90	0.90	0.03	0.05	0.01	0.122	0.268	(A) BLACK OR AFRICAN AMERICAN
OTP	5q14.1	0.36	0.31	0.26	0.26	0.05	0.122	0.268	(A) BLACK OR AFRICAN AMERICAN
FAM78A	9q34.13	0.68	0.71	0.18	0.15	-0.03	0.122	0.268	(B) WHITE
TUSC2	3p21.31	0.03	0.03	0.01	0.01	-0.00	0.122	0.268	(B) WHITE
CCL23	17q12	0.53	0.57	0.19	0.18	-0.04	0.122	0.268	(B) WHITE
LDHAL6B	15q22.2	0.95	0.97	0.14	0.04	-0.03	0.122	0.268	(B) WHITE
FAM163A	1q25.2	0.27	0.30	0.16	0.18	-0.03	0.122	0.269	(B) WHITE
INSL3	19p13.11	0.74	0.76	0.12	0.12	-0.02	0.122	0.269	(B) WHITE
HSD17B13	4q22.1	0.92	0.93	0.02	0.03	-0.01	0.122	0.269	(B) WHITE
DEDD2	19q13.2	0.02	0.02	0.00	0.00	-0.00	0.122	0.269	(B) WHITE
GABBR2	9q22.33	0.37	0.41	0.16	0.18	-0.03	0.122	0.269	(B) WHITE
NPC1L1	7p13	0.91	0.90	0.05	0.07	0.01	0.122	0.269	(A) BLACK OR AFRICAN AMERICAN
GADL1	3p24.1-p23	0.75	0.77	0.09	0.08	-0.02	0.122	0.269	(B) WHITE
BACE2	21q22.2-q22.3	0.54	0.58	0.23	0.23	-0.04	0.123	0.270	(B) WHITE
ROGDI	16p13.3	0.74	0.73	0.07	0.10	0.01	0.123	0.270	(A) BLACK OR AFRICAN AMERICAN
PRPF40A	2q23.3	0.41	0.44	0.16	0.18	-0.03	0.123	0.270	(B) WHITE
COL13A1	10q22.1	0.81	0.83	0.09	0.08	-0.02	0.123	0.270	(B) WHITE
MINPP1	10q23.2	0.22	0.19	0.14	0.12	0.03	0.123	0.270	(A) BLACK OR AFRICAN AMERICAN
FGD2	6p21.2	0.48	0.51	0.13	0.14	-0.03	0.123	0.270	(B) WHITE
PAXX	9q34.3	0.05	0.03	0.10	0.07	0.02	0.123	0.270	(A) BLACK OR AFRICAN AMERICAN
FUOM	10q26.3	0.31	0.37	0.27	0.24	-0.05	0.123	0.271	(B) WHITE
STOML2	9p13.3	0.13	0.09	0.17	0.13	0.03	0.123	0.271	(A) BLACK OR AFRICAN AMERICAN
ACBD3	1q42.12	0.01	0.01	0.00	0.00	0.00	0.123	0.271	(A) BLACK OR AFRICAN AMERICAN
PEAK1	15q24.3	0.84	0.87	0.13	0.10	-0.03	0.123	0.271	(B) WHITE
BATF	14q24.3	0.22	0.20	0.09	0.08	0.02	0.123	0.271	(A) BLACK OR AFRICAN AMERICAN
DIPK2A	3q24	0.17	0.20	0.15	0.16	-0.03	0.123	0.271	(B) WHITE
FBXW8	12q24.22	0.82	0.79	0.15	0.15	0.03	0.124	0.271	(A) BLACK OR AFRICAN AMERICAN
LEMD2	6p21.31	0.85	0.86	0.07	0.04	-0.01	0.124	0.271	(B) WHITE
RNMT	18p11.21	0.02	0.02	0.00	0.00	0.00	0.124	0.271	(A) BLACK OR AFRICAN AMERICAN
SYNPO2L	10q22.2	0.18	0.15	0.15	0.15	0.03	0.124	0.272	(A) BLACK OR AFRICAN AMERICAN
TREM1	6p21.1	0.81	0.84	0.14	0.09	-0.03	0.124	0.272	(B) WHITE
MUCL3	6p21.33	0.66	0.70	0.17	0.15	-0.03	0.124	0.272	(B) WHITE
F2R	5q13.3	0.02	0.03	0.01	0.05	-0.00	0.124	0.272	(B) WHITE
IL27	16p12.1-p11.2	0.69	0.71	0.11	0.09	-0.02	0.124	0.272	(B) WHITE
CD52	1p36.11	0.69	0.71	0.14	0.13	-0.03	0.124	0.272	(B) WHITE
CPT2	1p32.3	0.04	0.04	0.01	0.01	0.00	0.124	0.272	(A) BLACK OR AFRICAN AMERICAN
RHOD	11q13.2	0.36	0.34	0.11	0.11	0.02	0.124	0.272	(A) BLACK OR AFRICAN AMERICAN
SCGB2A1	11q12.3	0.57	0.53	0.21	0.19	0.04	0.124	0.272	(A) BLACK OR AFRICAN AMERICAN
DGUOK	2p13.1	0.02	0.02	0.00	0.01	-0.00	0.124	0.272	(B) WHITE
NECAB2	16q23.3	0.82	0.84	0.10	0.08	-0.02	0.124	0.272	(B) WHITE
SUGCT	7p14.1	0.74	0.78	0.17	0.16	-0.03	0.124	0.273	(B) WHITE
LHFPL5	6p21.31	0.85	0.86	0.05	0.05	-0.01	0.125	0.273	(B) WHITE
TMEM204	16p13.3	0.81	0.82	0.07	0.06	-0.01	0.125	0.273	(B) WHITE
SLC25A17	22q13.2	0.03	0.03	0.01	0.01	0.00	0.125	0.273	(A) BLACK OR AFRICAN AMERICAN
EPHA10	1p34.3	0.39	0.37	0.13	0.12	0.02	0.125	0.273	(A) BLACK OR AFRICAN AMERICAN
C2ORF76	2q14.2	0.03	0.04	0.01	0.01	-0.00	0.125	0.273	(B) WHITE
ATP2A1	16p11.2	0.88	0.89	0.05	0.04	-0.01	0.125	0.273	(B) WHITE
UNG	12q24.11	0.02	0.02	0.01	0.00	0.00	0.125	0.273	(A) BLACK OR AFRICAN AMERICAN
SPINK5	5q32	0.89	0.90	0.06	0.08	-0.01	0.125	0.274	(B) WHITE
MRPL46	15q25.3	0.03	0.03	0.01	0.01	0.00	0.125	0.274	(A) BLACK OR AFRICAN AMERICAN
CDV3	3q22.1	0.56	0.61	0.22	0.22	-0.04	0.125	0.274	(B) WHITE
DYRK1A	21q22.13	0.08	0.08	0.02	0.02	0.00	0.125	0.274	(A) BLACK OR AFRICAN AMERICAN
WSB2	12q24.23	0.07	0.07	0.02	0.01	0.00	0.125	0.274	(A) BLACK OR AFRICAN AMERICAN
KHSRP	19p13.3	0.26	0.30	0.17	0.17	-0.03	0.125	0.274	(B) WHITE
FBXO11	2p16.3	0.04	0.05	0.01	0.03	-0.00	0.125	0.274	(B) WHITE
JUN	1p32.1	0.02	0.03	0.01	0.02	-0.00	0.125	0.274	(B) WHITE
DRG2	17p11.2	0.02	0.02	0.00	0.01	-0.00	0.126	0.275	(B) WHITE
RPL39L	3q27.3	0.37	0.40	0.16	0.17	-0.03	0.126	0.275	(B) WHITE
NUP160	11p11.2	0.02	0.02	0.00	0.00	0.00	0.126	0.275	(A) BLACK OR AFRICAN AMERICAN
FBXO16	8p21.1	0.12	0.11	0.07	0.05	0.01	0.126	0.275	(A) BLACK OR AFRICAN AMERICAN
RUVBL2	19q13.33	0.02	0.02	0.00	0.01	0.00	0.126	0.275	(A) BLACK OR AFRICAN AMERICAN
SELENOM	22q12.2	0.82	0.83	0.05	0.06	-0.01	0.126	0.275	(B) WHITE
ETFRF1	12p12.1	0.14	0.13	0.05	0.06	0.01	0.126	0.275	(A) BLACK OR AFRICAN AMERICAN
CR2	1q32.2	0.12	0.15	0.13	0.14	-0.02	0.126	0.276	(B) WHITE
ADAMTS16	5p15.32	0.79	0.84	0.25	0.18	-0.05	0.126	0.276	(B) WHITE
PSMC1	14q32.11	0.92	0.93	0.08	0.04	-0.02	0.126	0.276	(B) WHITE
TNXB	6p21.33-p21.32	0.90	0.89	0.08	0.08	0.02	0.126	0.276	(A) BLACK OR AFRICAN AMERICAN
TGFA	2p13.3	0.07	0.09	0.10	0.10	-0.02	0.126	0.276	(B) WHITE
DNAJC2	7q22.1	0.05	0.06	0.03	0.05	-0.01	0.126	0.276	(B) WHITE
RFNG	17q25.3	0.88	0.89	0.03	0.03	-0.01	0.127	0.276	(B) WHITE
ZNF583	19q13.43	0.08	0.05	0.15	0.11	0.03	0.127	0.276	(A) BLACK OR AFRICAN AMERICAN
KRT32	17q21.2	0.51	0.47	0.21	0.22	0.04	0.127	0.277	(A) BLACK OR AFRICAN AMERICAN
PDE4D	5q11.2-q12.1	0.90	0.89	0.06	0.07	0.01	0.127	0.277	(A) BLACK OR AFRICAN AMERICAN
INSM2	14q13.2	0.03	0.04	0.02	0.06	-0.01	0.127	0.277	(B) WHITE
IRAK3	12q14.3	0.57	0.53	0.18	0.22	0.04	0.127	0.277	(A) BLACK OR AFRICAN AMERICAN
CLDN4	7q11.23	0.79	0.83	0.17	0.14	-0.03	0.127	0.277	(B) WHITE
TCFL5	20q13.33	0.67	0.71	0.20	0.20	-0.04	0.127	0.277	(B) WHITE
DIRAS3	1p31.3	0.49	0.52	0.14	0.12	-0.03	0.127	0.277	(B) WHITE
TULP4	6q25.3	0.52	0.48	0.19	0.21	0.04	0.127	0.277	(A) BLACK OR AFRICAN AMERICAN
SRSF12	6q15	0.53	0.56	0.15	0.12	-0.03	0.127	0.277	(B) WHITE
OSR1	2p24.1	0.76	0.77	0.08	0.07	-0.01	0.127	0.277	(B) WHITE
ARMT1	6q25.1	0.80	0.78	0.13	0.17	0.03	0.127	0.277	(A) BLACK OR AFRICAN AMERICAN
RNF220	1p34.1	0.73	0.76	0.15	0.13	-0.03	0.127	0.277	(B) WHITE
ZDHHC14	6q25.3	0.76	0.78	0.14	0.10	-0.03	0.127	0.277	(B) WHITE
HRH3	20q13.33	0.39	0.42	0.13	0.13	-0.03	0.127	0.277	(B) WHITE
RAB15	14q23.3	0.10	0.09	0.06	0.05	0.01	0.127	0.277	(A) BLACK OR AFRICAN AMERICAN
ELP6	3p21.31	0.02	0.02	0.00	0.00	-0.00	0.127	0.277	(B) WHITE
ZNF84	12q24.33	0.02	0.02	0.02	0.02	0.00	0.128	0.278	(A) BLACK OR AFRICAN AMERICAN
SKA1	18q21.1	0.05	0.06	0.01	0.02	-0.00	0.128	0.278	(B) WHITE
CADPS2	7q31.32	0.07	0.06	0.08	0.05	0.01	0.128	0.278	(A) BLACK OR AFRICAN AMERICAN
SELENOP	5p12	0.57	0.54	0.20	0.19	0.04	0.128	0.278	(A) BLACK OR AFRICAN AMERICAN
CENPO	2p23.3	0.01	0.01	0.00	0.01	-0.00	0.128	0.278	(B) WHITE
CSNK1G2	19p13.3	0.92	0.93	0.04	0.03	-0.01	0.128	0.278	(B) WHITE
NOTCH2NLA	1q21.1	0.71	0.68	0.15	0.17	0.03	0.128	0.278	(A) BLACK OR AFRICAN AMERICAN
CRIPAK	4p16.3	0.98	0.98	0.01	0.01	-0.00	0.128	0.278	(B) WHITE
XPO6	16p12.1	0.04	0.04	0.01	0.01	0.00	0.128	0.278	(A) BLACK OR AFRICAN AMERICAN
FBRS	16p11.2	0.80	0.78	0.13	0.15	0.03	0.128	0.278	(A) BLACK OR AFRICAN AMERICAN
PRSS27	16p13.3	0.52	0.57	0.22	0.22	-0.04	0.128	0.278	(B) WHITE
ACTRT3	3q26.2	0.83	0.85	0.10	0.08	-0.02	0.128	0.279	(B) WHITE
TBK1	12q14.2	0.40	0.37	0.18	0.15	0.03	0.128	0.279	(A) BLACK OR AFRICAN AMERICAN
GNAI2	3p21.31	0.10	0.07	0.14	0.10	0.03	0.128	0.279	(A) BLACK OR AFRICAN AMERICAN
RHOT1	17q11.2	0.03	0.03	0.01	0.01	0.00	0.128	0.279	(A) BLACK OR AFRICAN AMERICAN
ONECUT2	18q21.31	0.10	0.12	0.11	0.14	-0.02	0.129	0.280	(B) WHITE
HIVEP2	6q24.2	0.75	0.78	0.17	0.17	-0.03	0.129	0.280	(B) WHITE
KATNAL1	13q12.3	0.02	0.02	0.00	0.01	0.00	0.129	0.280	(A) BLACK OR AFRICAN AMERICAN
PCMTD1	8q11.23	0.08	0.08	0.03	0.04	-0.01	0.129	0.280	(B) WHITE
DCUN1D5	11q22.3	0.03	0.03	0.01	0.03	-0.00	0.129	0.280	(B) WHITE
GTF2IRD1	7q11.23	0.42	0.39	0.14	0.13	0.03	0.129	0.280	(A) BLACK OR AFRICAN AMERICAN
POU5F1	6p21.33	0.91	0.92	0.05	0.06	-0.01	0.129	0.280	(B) WHITE
MYL3	3p21.31	0.53	0.56	0.13	0.15	-0.03	0.129	0.281	(B) WHITE
COX5B	2q11.2	0.93	0.94	0.01	0.01	-0.00	0.129	0.281	(B) WHITE
SNF8	17q21.32	0.03	0.03	0.01	0.01	-0.00	0.129	0.281	(B) WHITE
PIWIL4	11q21	0.52	0.56	0.23	0.21	-0.04	0.129	0.281	(B) WHITE
ACPP	3q22.1	0.53	0.56	0.18	0.16	-0.04	0.130	0.281	(B) WHITE
PLK5	19p13.3	0.69	0.73	0.16	0.15	-0.03	0.130	0.281	(B) WHITE
GBA3	4p15.2	0.63	0.59	0.21	0.22	0.04	0.130	0.281	(A) BLACK OR AFRICAN AMERICAN
MRPL39	21q21.3	0.02	0.02	0.00	0.00	-0.00	0.130	0.281	(B) WHITE
ZDHHC19	3q29	0.05	0.03	0.10	0.06	0.02	0.130	0.281	(A) BLACK OR AFRICAN AMERICAN
TANK	2q24.2	0.45	0.50	0.27	0.25	-0.05	0.130	0.281	(B) WHITE
MMP17	12q24.33	0.10	0.11	0.05	0.04	-0.01	0.130	0.282	(B) WHITE
SOWAHC	2q13	0.72	0.76	0.21	0.19	-0.04	0.130	0.282	(B) WHITE
ADAM33	20p13	0.56	0.59	0.14	0.14	-0.03	0.130	0.282	(B) WHITE
HECTD3	1p34.1	0.03	0.03	0.01	0.01	-0.00	0.130	0.282	(B) WHITE
TMEM18	2p25.3	0.74	0.75	0.06	0.06	-0.01	0.130	0.282	(B) WHITE
ZNF646	16p11.2	0.90	0.91	0.03	0.02	-0.01	0.130	0.282	(B) WHITE
PPP1R18	6p21.33	0.57	0.61	0.21	0.18	-0.04	0.130	0.282	(B) WHITE
PPP2R5D	6p21.1	0.02	0.02	0.01	0.01	-0.00	0.130	0.282	(B) WHITE
TMEM216	11q12.2	0.32	0.35	0.18	0.19	-0.04	0.130	0.282	(B) WHITE
ANKRD23	2q11.2	0.87	0.88	0.04	0.03	-0.01	0.130	0.282	(B) WHITE
PRSS8	16p11.2	0.20	0.18	0.08	0.07	0.01	0.130	0.282	(A) BLACK OR AFRICAN AMERICAN
RHO	3q22.1	0.83	0.85	0.12	0.08	-0.02	0.130	0.282	(B) WHITE
EIF2AK1	7p22.1	0.55	0.51	0.21	0.19	0.04	0.130	0.282	(A) BLACK OR AFRICAN AMERICAN
AGBL5	2p23.3	0.03	0.03	0.01	0.01	-0.00	0.130	0.282	(B) WHITE
CLK3	15q24.1	0.84	0.85	0.04	0.03	-0.01	0.130	0.282	(B) WHITE
MAK	6p24.2	0.83	0.81	0.12	0.15	0.02	0.131	0.282	(A) BLACK OR AFRICAN AMERICAN
SLC46A3	13q12.3	0.12	0.09	0.15	0.10	0.03	0.131	0.282	(A) BLACK OR AFRICAN AMERICAN
RPS27A	2p16.1	0.74	0.77	0.18	0.16	-0.04	0.131	0.282	(B) WHITE
SNX32	11q13.1	0.32	0.36	0.17	0.16	-0.03	0.131	0.283	(B) WHITE
CDKN2D	19p13.2	0.83	0.85	0.06	0.05	-0.01	0.131	0.283	(B) WHITE
SERP2	13q14.11	0.38	0.35	0.12	0.11	0.02	0.131	0.283	(A) BLACK OR AFRICAN AMERICAN
SHB	9p13.1	0.76	0.80	0.18	0.15	-0.03	0.131	0.283	(B) WHITE
SERTAD2	2p14	0.31	0.35	0.20	0.21	-0.04	0.131	0.283	(B) WHITE
ZDHHC16	10q24.1	0.73	0.76	0.18	0.15	-0.03	0.131	0.283	(B) WHITE
ZNF354B	5q35.3	0.89	0.88	0.05	0.05	0.01	0.131	0.284	(A) BLACK OR AFRICAN AMERICAN
EHD2	19q13.33	0.19	0.15	0.20	0.17	0.04	0.131	0.284	(A) BLACK OR AFRICAN AMERICAN
TXNL1	18q21.31	0.02	0.02	0.01	0.01	-0.00	0.131	0.284	(B) WHITE
TJP1	15q13.1	0.05	0.04	0.03	0.01	0.01	0.131	0.284	(A) BLACK OR AFRICAN AMERICAN
ST3GAL6	3q12.1	0.17	0.20	0.17	0.19	-0.03	0.131	0.284	(B) WHITE
MEIS1	2p14	0.66	0.71	0.25	0.20	-0.05	0.132	0.284	(B) WHITE
ZNF273	7q11.21	0.17	0.16	0.04	0.05	0.01	0.132	0.284	(A) BLACK OR AFRICAN AMERICAN
SLC10A5	8q21.13	0.63	0.67	0.23	0.22	-0.04	0.132	0.284	(B) WHITE
FAM3D	3p14.2	0.76	0.78	0.10	0.06	-0.02	0.132	0.284	(B) WHITE
GEN1	2p24.2	0.13	0.15	0.08	0.10	-0.02	0.132	0.284	(B) WHITE
ZNF638	2p13.3-p13.2	0.07	0.08	0.06	0.07	-0.01	0.132	0.284	(B) WHITE
RTN4	2p16.1	0.73	0.70	0.18	0.18	0.03	0.132	0.284	(A) BLACK OR AFRICAN AMERICAN
NUP210L	1q21.3	0.82	0.85	0.15	0.10	-0.03	0.132	0.285	(B) WHITE
EP400P1	12q24.33	0.04	0.04	0.01	0.01	-0.00	0.132	0.285	(B) WHITE
MYPOP	19q13.32	0.85	0.87	0.10	0.07	-0.02	0.132	0.285	(B) WHITE
RNF187	1q42.13	0.04	0.04	0.01	0.02	-0.00	0.132	0.285	(B) WHITE
HRC	19q13.33	0.73	0.75	0.14	0.10	-0.03	0.132	0.285	(B) WHITE
ARMC4	10p12.1	0.10	0.07	0.16	0.12	0.03	0.132	0.285	(A) BLACK OR AFRICAN AMERICAN
PIK3IP1	22q12.2	0.10	0.09	0.08	0.07	0.01	0.132	0.285	(A) BLACK OR AFRICAN AMERICAN
SLC39A10	2q32.3	0.04	0.03	0.01	0.01	0.00	0.132	0.285	(A) BLACK OR AFRICAN AMERICAN
SMARCAL1	2q35	0.05	0.05	0.01	0.01	0.00	0.132	0.285	(A) BLACK OR AFRICAN AMERICAN
FAM118B	11q24.2	0.02	0.02	0.00	0.00	0.00	0.132	0.285	(A) BLACK OR AFRICAN AMERICAN
CAMK1D	10p13	0.60	0.63	0.12	0.13	-0.02	0.132	0.285	(B) WHITE
ARTN	1p34.1	0.65	0.63	0.14	0.17	0.03	0.132	0.285	(A) BLACK OR AFRICAN AMERICAN
NDUFA2	5q31.3	0.03	0.03	0.01	0.01	0.00	0.133	0.285	(A) BLACK OR AFRICAN AMERICAN
SAR1B	5q31.1	0.02	0.02	0.00	0.00	0.00	0.133	0.286	(A) BLACK OR AFRICAN AMERICAN
RBSN	3p25.1	0.02	0.02	0.01	0.00	0.00	0.133	0.286	(A) BLACK OR AFRICAN AMERICAN
OXA1L	14q11.2	0.12	0.11	0.07	0.08	0.01	0.133	0.286	(A) BLACK OR AFRICAN AMERICAN
CCN6	6q21	0.73	0.76	0.16	0.15	-0.03	0.133	0.286	(B) WHITE
EBNA1BP2	1p34.2	0.03	0.03	0.00	0.02	-0.00	0.133	0.286	(B) WHITE
CPTP	1p36.33	0.03	0.03	0.01	0.02	-0.00	0.133	0.286	(B) WHITE
NFKB1	4q24	0.48	0.45	0.13	0.15	0.03	0.133	0.286	(A) BLACK OR AFRICAN AMERICAN
HOXC11	12q13.13	0.31	0.35	0.19	0.21	-0.04	0.133	0.286	(B) WHITE
TUBA8	22q11.21	0.82	0.84	0.11	0.08	-0.02	0.133	0.286	(B) WHITE
ZNF652	17q21.32-q21.33	0.12	0.11	0.06	0.06	0.01	0.133	0.286	(A) BLACK OR AFRICAN AMERICAN
RMI1	9q21.32	0.01	0.01	0.00	0.00	0.00	0.133	0.286	(A) BLACK OR AFRICAN AMERICAN
BCDIN3D	12q13.12	0.02	0.01	0.01	0.01	0.00	0.133	0.286	(A) BLACK OR AFRICAN AMERICAN
CEP170	1q43	0.04	0.05	0.02	0.03	-0.00	0.133	0.286	(B) WHITE
PEA15	1q23.2	0.88	0.88	0.04	0.04	-0.01	0.133	0.286	(B) WHITE
ABI3BP	3q12.2	0.61	0.64	0.17	0.16	-0.03	0.133	0.286	(B) WHITE
E2F2	1p36.12	0.09	0.11	0.07	0.08	-0.01	0.133	0.286	(B) WHITE
AKR7A2P1	1p13.2	0.87	0.89	0.10	0.07	-0.02	0.133	0.286	(B) WHITE
TMEM130	7q22.1	0.64	0.60	0.19	0.20	0.04	0.134	0.287	(A) BLACK OR AFRICAN AMERICAN
CACNA1H	16p13.3	0.75	0.72	0.15	0.16	0.03	0.134	0.287	(A) BLACK OR AFRICAN AMERICAN
OXER1	2p21	0.69	0.71	0.11	0.10	-0.02	0.134	0.287	(B) WHITE
CCNA2	4q27	0.06	0.07	0.03	0.04	-0.01	0.134	0.287	(B) WHITE
GK5	3q23	0.59	0.63	0.23	0.22	-0.04	0.134	0.287	(B) WHITE
ELP1	9q31.3	0.02	0.02	0.00	0.00	0.00	0.134	0.287	(A) BLACK OR AFRICAN AMERICAN
ANAPC11	17q25.3	0.89	0.90	0.05	0.07	-0.01	0.134	0.287	(B) WHITE
CLIC4	1p36.11	0.54	0.58	0.18	0.18	-0.03	0.134	0.288	(B) WHITE
GAMT	19p13.3	0.33	0.31	0.13	0.10	0.02	0.134	0.288	(A) BLACK OR AFRICAN AMERICAN
LOXL2	8p21.3	0.75	0.77	0.11	0.09	-0.02	0.134	0.288	(B) WHITE
DAZAP2	12q13.13	0.01	0.01	0.00	0.00	0.00	0.134	0.288	(A) BLACK OR AFRICAN AMERICAN
ABHD17B	9q21.13	0.31	0.34	0.17	0.19	-0.03	0.134	0.288	(B) WHITE
GGTA1P	9q33.2	0.47	0.50	0.18	0.16	-0.03	0.134	0.288	(B) WHITE
HINT2	9p13.3	0.02	0.02	0.00	0.00	-0.00	0.134	0.288	(B) WHITE
RARS	5q34	0.01	0.01	0.00	0.00	0.00	0.135	0.288	(A) BLACK OR AFRICAN AMERICAN
HIST1H4J	6p22.1	0.17	0.15	0.12	0.09	0.02	0.135	0.288	(A) BLACK OR AFRICAN AMERICAN
CD3G	11q23.3	0.71	0.73	0.11	0.10	-0.02	0.135	0.288	(B) WHITE
MYOZ1	10q22.2	0.55	0.58	0.11	0.10	-0.02	0.135	0.288	(B) WHITE
SLC41A2	12q23.3	0.78	0.75	0.11	0.13	0.02	0.135	0.288	(A) BLACK OR AFRICAN AMERICAN
TNFSF8	9q32-q33.1	0.69	0.72	0.18	0.17	-0.03	0.135	0.289	(B) WHITE
STX2	12q24.33	0.05	0.05	0.02	0.03	-0.00	0.135	0.289	(B) WHITE
CAPN10	2q37.3	0.85	0.86	0.08	0.07	-0.02	0.135	0.289	(B) WHITE
RGS9	17q24.1	0.19	0.20	0.08	0.09	-0.02	0.135	0.289	(B) WHITE
SF3B5	6q24.2	0.03	0.04	0.02	0.04	-0.00	0.135	0.289	(B) WHITE
RANBP10	16q22.1	0.03	0.03	0.01	0.01	-0.00	0.135	0.289	(B) WHITE
MRPS9	2q12.1	0.07	0.07	0.02	0.04	-0.01	0.135	0.289	(B) WHITE
ASXL2	2p23.3	0.07	0.06	0.03	0.03	0.01	0.135	0.289	(A) BLACK OR AFRICAN AMERICAN
FUT11	10q22.2	0.06	0.04	0.12	0.05	0.02	0.135	0.289	(A) BLACK OR AFRICAN AMERICAN
MICU3	8p22	0.11	0.15	0.17	0.18	-0.03	0.135	0.289	(B) WHITE
TSPAN3	15q24.3	0.03	0.02	0.06	0.01	0.01	0.135	0.289	(A) BLACK OR AFRICAN AMERICAN
FMO5	1q21.1	0.04	0.04	0.02	0.07	-0.01	0.135	0.289	(B) WHITE
U2AF1L4	19q13.12	0.95	0.95	0.01	0.02	-0.00	0.135	0.289	(B) WHITE
ORM1	9q32	0.77	0.79	0.15	0.10	-0.03	0.135	0.289	(B) WHITE
DAPK2	15q22.31	0.59	0.62	0.19	0.17	-0.04	0.135	0.289	(B) WHITE
BAZ1A	14q13.1-q13.2	0.06	0.06	0.02	0.03	0.00	0.136	0.290	(A) BLACK OR AFRICAN AMERICAN
CD101	1p13.1	0.80	0.83	0.12	0.12	-0.02	0.136	0.290	(B) WHITE
TRAF6	11p12	0.07	0.07	0.02	0.03	0.00	0.136	0.290	(A) BLACK OR AFRICAN AMERICAN
CCDC18	1p22.1	0.02	0.02	0.01	0.01	0.00	0.136	0.290	(A) BLACK OR AFRICAN AMERICAN
PCDHB10	5q31.3	0.27	0.30	0.16	0.16	-0.03	0.136	0.290	(B) WHITE
ABRA	8q23.1	0.77	0.74	0.16	0.18	0.03	0.136	0.290	(A) BLACK OR AFRICAN AMERICAN
CD300LF	17q25.1	0.59	0.63	0.16	0.15	-0.03	0.136	0.290	(B) WHITE
TOP2A	17q21.2	0.02	0.02	0.02	0.01	0.00	0.136	0.290	(A) BLACK OR AFRICAN AMERICAN
ARHGAP25	2p13.3	0.57	0.59	0.11	0.13	-0.02	0.136	0.290	(B) WHITE
