Gene	Cytoband	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	Log Ratio	p-Value	q-Value	Higher methylation in
TSPO	22q13.2	0.80	0.83	0.05	0.04	-0.03	1.517e-6	2.900e-4	(B) WHITE
PLEKHG5	1p36.31	0.85	0.88	0.04	0.03	-0.02	1.534e-6	2.900e-4	(B) WHITE
COL5A1	9q34.3	0.72	0.58	0.20	0.21	0.13	1.536e-6	2.900e-4	(A) BLACK OR AFRICAN AMERICAN
BMS1P1	10q11.22	0.03	0.02	0.01	0.01	0.00	1.613e-6	3.008e-4	(A) BLACK OR AFRICAN AMERICAN
TESMIN	11q13.3	0.70	0.56	0.21	0.24	0.14	1.683e-6	3.010e-4	(A) BLACK OR AFRICAN AMERICAN
METAP2	12q22	0.15	0.10	0.07	0.06	0.05	1.695e-6	3.010e-4	(A) BLACK OR AFRICAN AMERICAN
TBCD	17q25.3	0.90	0.91	0.02	0.02	-0.02	1.699e-6	3.010e-4	(B) WHITE
ADH4	4q23	0.52	0.66	0.21	0.18	-0.14	1.699e-6	3.010e-4	(B) WHITE
CGNL1	15q21.3	0.75	0.62	0.20	0.19	0.13	1.712e-6	3.010e-4	(A) BLACK OR AFRICAN AMERICAN
GTF3C5	9q34.13	0.09	0.12	0.04	0.04	-0.03	1.791e-6	3.081e-4	(B) WHITE
SYPL1	7q22.3	0.82	0.72	0.14	0.18	0.10	1.793e-6	3.081e-4	(A) BLACK OR AFRICAN AMERICAN
SNHG6	8q13.1|8q13	0.57	0.74	0.26	0.23	-0.16	1.838e-6	3.124e-4	(B) WHITE
MAT1A	10q22.3	0.45	0.58	0.20	0.19	-0.13	1.882e-6	3.162e-4	(B) WHITE
IL20RA	6q23.3	0.65	0.46	0.30	0.30	0.19	1.942e-6	3.228e-4	(A) BLACK OR AFRICAN AMERICAN
A2ML1	12p13.31	0.60	0.73	0.20	0.15	-0.13	1.996e-6	3.282e-4	(B) WHITE
SRRM5	19q13.31	0.79	0.81	0.03	0.03	-0.02	2.025e-6	3.295e-4	(B) WHITE
LINC02731	11q25	0.36	0.21	0.24	0.20	0.15	2.074e-6	3.319e-4	(A) BLACK OR AFRICAN AMERICAN
TFEB	6p21.1	0.45	0.56	0.17	0.13	-0.11	2.083e-6	3.319e-4	(B) WHITE
PTK7	6p21.1	0.50	0.65	0.23	0.20	-0.15	2.212e-6	3.487e-4	(B) WHITE
AP3D1	19p13.3	0.75	0.91	0.26	0.04	-0.16	2.323e-6	3.626e-4	(B) WHITE
RNF5P1	8p11.22	0.03	0.04	0.01	0.02	-0.01	2.406e-6	3.676e-4	(B) WHITE
EGLN2	19q13.2	0.52	0.43	0.13	0.13	0.08	2.420e-6	3.676e-4	(A) BLACK OR AFRICAN AMERICAN
CIP2A	3q13.13	0.07	0.04	0.04	0.04	0.03	2.428e-6	3.676e-4	(A) BLACK OR AFRICAN AMERICAN
PTPRU	1p35.3	0.62	0.74	0.20	0.16	-0.13	2.467e-6	3.699e-4	(B) WHITE
TBC1D1	4p14	0.26	0.41	0.24	0.25	-0.15	2.682e-6	3.982e-4	(B) WHITE
AHCYL1	1p13.3	0.71	0.58	0.21	0.23	0.14	2.763e-6	4.063e-4	(A) BLACK OR AFRICAN AMERICAN
MFSD14A	1p21.2	0.02	0.01	0.00	0.00	0.00	2.840e-6	4.137e-4	(A) BLACK OR AFRICAN AMERICAN
PDCD4	10q25.2	0.74	0.62	0.19	0.22	0.12	2.909e-6	4.197e-4	(A) BLACK OR AFRICAN AMERICAN
GATA3	10p14	0.67	0.53	0.23	0.20	0.14	3.109e-6	4.384e-4	(A) BLACK OR AFRICAN AMERICAN
ATRAID	2p23.3	0.02	0.03	0.00	0.01	-0.00	3.131e-6	4.384e-4	(B) WHITE
TMEM131L	4q31.3	0.35	0.49	0.22	0.22	-0.14	3.146e-6	4.384e-4	(B) WHITE
