Gene	Cytoband	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	Log Ratio	p-Value	q-Value	Higher expression in
EGFR	7p11.2	-0.12	-0.24	0.33	0.38	0.12	6.596e-3	0.0309	(A) BLACK OR AFRICAN AMERICAN
ITGA2	5q11.2	0.14	0.01	0.38	0.33	0.13	6.661e-3	0.0309	(A) BLACK OR AFRICAN AMERICAN
LCK	1p35.2	0.19	0.02	0.49	0.50	0.17	6.909e-3	0.0313	(A) BLACK OR AFRICAN AMERICAN
BAK1	6p21.31	0.02	-0.14	0.48	0.40	0.16	7.024e-3	0.0313	(A) BLACK OR AFRICAN AMERICAN
SMAD4	18q21.2	0.00	-0.05	0.15	0.18	0.05	7.220e-3	0.0315	(A) BLACK OR AFRICAN AMERICAN
PARK7	1p36.23	0.02	0.14	0.34	0.39	-0.12	7.564e-3	0.0324	(B) WHITE
ACVRL1	12q13.13	0.20	0.14	0.19	0.21	0.06	8.268e-3	0.0348	(A) BLACK OR AFRICAN AMERICAN
TFRC	3q29	-0.89	-1.19	0.89	0.79	0.29	9.161e-3	0.0378	(A) BLACK OR AFRICAN AMERICAN
CDKN1A	6p21.2	0.07	0.17	0.31	0.31	-0.10	0.0103	0.0419	(B) WHITE
RPTOR	17q25.3	-0.01	0.08	0.26	0.28	-0.08	0.0111	0.0442	(B) WHITE
IGFBP2	2q35	-0.08	0.23	0.97	0.85	-0.31	0.0115	0.0448	(B) WHITE
CTNNB1	3p22.1	-0.67	-0.47	0.61	0.76	-0.20	0.0129	0.0497	(B) WHITE
PRKCD_PS664	12p13.1-p12	-0.01	-0.07	0.17	0.19	0.05	0.0135	0.0512	(A) BLACK OR AFRICAN AMERICAN
YBX1	1p34.2	-0.12	-0.03	0.30	0.34	-0.10	0.0141	0.0523	(B) WHITE
SRC	20q11.23	0.01	-0.09	0.35	0.33	0.10	0.0169	0.0617	(A) BLACK OR AFRICAN AMERICAN
RAB11A	15q22.31	0.25	0.36	0.36	0.39	-0.11	0.0191	0.0678	(B) WHITE
RAB11B	19p13.2	0.25	0.36	0.36	0.39	-0.11	0.0191	0.0678	(B) WHITE
BCL2	18q21.33	0.42	0.62	0.72	0.61	-0.21	0.0218	0.0723	(B) WHITE
FOXO3_PS318_S321	5q21-q22	0.14	0.09	0.16	0.16	0.05	0.0222	0.0723	(A) BLACK OR AFRICAN AMERICAN
DIABLO	12q24.31	-0.48	-0.34	0.49	0.46	-0.14	0.0222	0.0723	(B) WHITE
CDKN1B_PT198	Xp11.4-p11.2	0.10	0.04	0.21	0.16	0.06	0.0223	0.0723	(A) BLACK OR AFRICAN AMERICAN
AKT1_PS473	8p11.1	-0.28	-0.05	0.76	0.84	-0.22	0.0226	0.0723	(B) WHITE
AKT2_PS473	8p11.1	-0.28	-0.05	0.76	0.84	-0.22	0.0226	0.0723	(B) WHITE
AKT3_PS473	8p11.1	-0.28	-0.05	0.76	0.84	-0.22	0.0226	0.0723	(B) WHITE
BRCA2	13q13.1	0.06	0.01	0.18	0.20	0.05	0.0243	0.0767	(A) BLACK OR AFRICAN AMERICAN
MSH6	2p16.3	-0.19	-0.37	0.62	0.56	0.17	0.0254	0.0791	(A) BLACK OR AFRICAN AMERICAN
BCL2L1	20q11.21	-0.21	-0.16	0.18	0.21	-0.05	0.0288	0.0846	(B) WHITE
RB1_PS807_S811	5q21-q22	-0.43	-0.29	0.48	0.58	-0.14	0.0288	0.0846	(B) WHITE
AKT1	14q32.33	-0.02	0.10	0.42	0.41	-0.12	0.0294	0.0846	(B) WHITE
AKT2	19q13.2	-0.02	0.10	0.42	0.41	-0.12	0.0294	0.0846	(B) WHITE
AKT3	1q43-q44	-0.02	0.10	0.42	0.41	-0.12	0.0294	0.0846	(B) WHITE
