Gene	Cytoband	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	(A) BLACK OR AFRICAN AMERICAN	(B) WHITE	Log Ratio	p-Value	q-Value	Higher expression in
GSK3B_PS9	8p11.1	-0.41	0.02	0.68	0.48	-0.43	0.0299	0.167	(B) WHITE
EIF4EBP1_PS65	8p12	-0.12	0.08	0.31	0.28	-0.20	0.0313	0.167	(B) WHITE
RPS6_PS240_S244	5q21-q22	-0.14	0.19	0.49	0.83	-0.33	0.0316	0.167	(B) WHITE
EIF4EBP1_PT37_T46	5q21-q22	-0.44	0.01	0.70	0.65	-0.45	0.0319	0.167	(B) WHITE
GSK3A_PS21_S9	5q21-q22	-0.59	-0.06	0.85	0.57	-0.53	0.0333	0.167	(B) WHITE
GSK3B_PS21_S9	5q21-q22	-0.59	-0.06	0.85	0.57	-0.53	0.0333	0.167	(B) WHITE
ASNS	7q21.3	0.20	0.01	0.30	0.32	0.19	0.0340	0.167	(A) BLACK OR AFRICAN AMERICAN
KIT	4q12	-0.15	0.03	0.28	0.33	-0.18	0.0343	0.167	(B) WHITE
EGFR_PY1068	7q31	-0.11	0.07	0.29	0.33	-0.18	0.0351	0.167	(B) WHITE
AKT1S1_PT246	17q23.1	-0.10	0.05	0.24	0.22	-0.15	0.0354	0.167	(B) WHITE
YWHAZ	8q22.3	0.17	0.02	0.26	0.26	0.16	0.0361	0.167	(A) BLACK OR AFRICAN AMERICAN
RPS6_PS235_S236	5q21-q22	-0.18	0.18	0.56	0.86	-0.36	0.0393	0.171	(B) WHITE
BRAF	7q34	0.30	0.03	0.45	0.37	0.27	0.0395	0.171	(A) BLACK OR AFRICAN AMERICAN
IGFBP2	2q35	0.68	0.12	0.97	0.54	0.57	0.0416	0.171	(A) BLACK OR AFRICAN AMERICAN
NDRG1_PT346	22q11.21	-0.12	0.10	0.36	0.41	-0.21	0.0429	0.171	(B) WHITE
AKT1	14q32.33	0.10	-0.02	0.18	0.30	0.12	0.0430	0.171	(A) BLACK OR AFRICAN AMERICAN
AKT2	19q13.2	0.10	-0.02	0.18	0.30	0.12	0.0430	0.171	(A) BLACK OR AFRICAN AMERICAN
AKT3	1q43-q44	0.10	-0.02	0.18	0.30	0.12	0.0430	0.171	(A) BLACK OR AFRICAN AMERICAN
